id,transit_server_type
13838,transit_server_type_15
10913,transit_server_type_15
10913,transit_server_type_11
6880,transit_server_type_11
6880,transit_server_type_15
685,transit_server_type_15
685,transit_server_type_11
10680,transit_server_type_15
10680,transit_server_type_2
10680,transit_server_type_11
13845,transit_server_type_15
13845,transit_server_type_54
17736,transit_server_type_15
10319,transit_server_type_15
10970,transit_server_type_15
10970,transit_server_type_11
13652,transit_server_type_15
10161,transit_server_type_54
10161,transit_server_type_15
725,transit_server_type_15
725,transit_server_type_11
5074,transit_server_type_15
5924,transit_server_type_15
5924,transit_server_type_11
10516,transit_server_type_11
10516,transit_server_type_54
6883,transit_server_type_15
6883,transit_server_type_54
6883,transit_server_type_11
5545,transit_server_type_15
5545,transit_server_type_11
14433,transit_server_type_15
14433,transit_server_type_11
18058,transit_server_type_15
5834,transit_server_type_15
5834,transit_server_type_11
4630,transit_server_type_15
4630,transit_server_type_11
4630,transit_server_type_1
17414,transit_server_type_15
6244,transit_server_type_15
6244,transit_server_type_11
3158,transit_server_type_15
16320,transit_server_type_15
3465,transit_server_type_15
13490,transit_server_type_15
4628,transit_server_type_15
4029,transit_server_type_15
15057,transit_server_type_15
13522,transit_server_type_15
5254,transit_server_type_11
5254,transit_server_type_15
14991,transit_server_type_6
14991,transit_server_type_11
14991,transit_server_type_15
2810,transit_server_type_15
5025,transit_server_type_15
14112,transit_server_type_15
5352,transit_server_type_11
5352,transit_server_type_15
7049,transit_server_type_15
7049,transit_server_type_11
17758,transit_server_type_1
17758,transit_server_type_15
17758,transit_server_type_11
11766,transit_server_type_15
11766,transit_server_type_11
1574,transit_server_type_11
1574,transit_server_type_15
7237,transit_server_type_15
7237,transit_server_type_11
10902,transit_server_type_15
10902,transit_server_type_11
9016,transit_server_type_15
13955,transit_server_type_15
13955,transit_server_type_11
11005,transit_server_type_11
11005,transit_server_type_15
16584,transit_server_type_15
16584,transit_server_type_11
8277,transit_server_type_15
15081,transit_server_type_15
15081,transit_server_type_11
18220,transit_server_type_11
18220,transit_server_type_15
4595,transit_server_type_15
1666,transit_server_type_15
7585,transit_server_type_15
4309,transit_server_type_15
16809,transit_server_type_15
2385,transit_server_type_15
2385,transit_server_type_11
16139,transit_server_type_15
16139,transit_server_type_11
7077,transit_server_type_15
11828,transit_server_type_15
11828,transit_server_type_11
2774,transit_server_type_15
11037,transit_server_type_15
11464,transit_server_type_11
11464,transit_server_type_15
15801,transit_server_type_15
15801,transit_server_type_11
12847,transit_server_type_15
4002,transit_server_type_11
4002,transit_server_type_15
11100,transit_server_type_15
10511,transit_server_type_15
14706,transit_server_type_15
14706,transit_server_type_20
14706,transit_server_type_11
462,transit_server_type_11
462,transit_server_type_15
7885,transit_server_type_11
7885,transit_server_type_1
7885,transit_server_type_15
12276,transit_server_type_15
10402,transit_server_type_11
10402,transit_server_type_15
3412,transit_server_type_15
6860,transit_server_type_15
11114,transit_server_type_15
9907,transit_server_type_15
4121,transit_server_type_15
10493,transit_server_type_11
10493,transit_server_type_15
11770,transit_server_type_15
11770,transit_server_type_11
965,transit_server_type_11
965,transit_server_type_15
18004,transit_server_type_15
5928,transit_server_type_15
5928,transit_server_type_11
7405,transit_server_type_11
7405,transit_server_type_15
6803,transit_server_type_15
8764,transit_server_type_15
7925,transit_server_type_11
7925,transit_server_type_15
12798,transit_server_type_15
11394,transit_server_type_15
17869,transit_server_type_15
10129,transit_server_type_15
13354,transit_server_type_15
16917,transit_server_type_15
17425,transit_server_type_11
17425,transit_server_type_15
18486,transit_server_type_11
18486,transit_server_type_15
6909,transit_server_type_15
12026,transit_server_type_15
16064,transit_server_type_15
11119,transit_server_type_15
8378,transit_server_type_11
8378,transit_server_type_15
894,transit_server_type_15
6648,transit_server_type_15
372,transit_server_type_11
372,transit_server_type_15
17066,transit_server_type_15
821,transit_server_type_15
608,transit_server_type_15
4535,transit_server_type_15
4640,transit_server_type_15
18296,transit_server_type_15
6904,transit_server_type_15
5059,transit_server_type_15
15102,transit_server_type_15
11286,transit_server_type_15
13438,transit_server_type_15
13438,transit_server_type_11
7851,transit_server_type_15
16336,transit_server_type_15
17470,transit_server_type_15
8388,transit_server_type_15
4141,transit_server_type_15
4163,transit_server_type_15
13077,transit_server_type_15
15343,transit_server_type_15
6475,transit_server_type_15
6475,transit_server_type_11
12214,transit_server_type_15
6623,transit_server_type_15
1551,transit_server_type_15
13260,transit_server_type_15
12932,transit_server_type_15
4556,transit_server_type_15
8556,transit_server_type_15
14449,transit_server_type_15
18376,transit_server_type_15
17745,transit_server_type_15
17963,transit_server_type_1
17963,transit_server_type_15
17963,transit_server_type_11
10014,transit_server_type_15
9879,transit_server_type_15
1718,transit_server_type_15
13376,transit_server_type_15
13376,transit_server_type_11
17645,transit_server_type_15
2214,transit_server_type_15
12194,transit_server_type_15
12607,transit_server_type_15
378,transit_server_type_15
14616,transit_server_type_15
1326,transit_server_type_15
15085,transit_server_type_15
6339,transit_server_type_15
4151,transit_server_type_15
17950,transit_server_type_15
15427,transit_server_type_15
200,transit_server_type_15
18050,transit_server_type_15
3547,transit_server_type_15
15192,transit_server_type_15
13832,transit_server_type_15
2467,transit_server_type_15
6369,transit_server_type_15
12887,transit_server_type_11
12887,transit_server_type_15
8366,transit_server_type_15
2425,transit_server_type_11
2425,transit_server_type_15
8106,transit_server_type_11
8106,transit_server_type_15
12935,transit_server_type_15
4623,transit_server_type_15
222,transit_server_type_15
9059,transit_server_type_15
15381,transit_server_type_15
13154,transit_server_type_11
13154,transit_server_type_15
665,transit_server_type_15
10110,transit_server_type_15
1716,transit_server_type_15
3951,transit_server_type_15
17731,transit_server_type_15
16403,transit_server_type_15
8501,transit_server_type_15
15362,transit_server_type_15
9870,transit_server_type_15
8831,transit_server_type_15
5961,transit_server_type_15
9364,transit_server_type_15
18490,transit_server_type_15
9088,transit_server_type_15
9088,transit_server_type_11
2865,transit_server_type_11
16514,transit_server_type_30
18077,transit_server_type_29
14,transit_server_type_30
13453,transit_server_type_11
12828,transit_server_type_11
6359,transit_server_type_34
6359,transit_server_type_35
5881,transit_server_type_35
5881,transit_server_type_34
13337,transit_server_type_35
13337,transit_server_type_34
14986,transit_server_type_11
12978,transit_server_type_11
1553,transit_server_type_11
487,transit_server_type_11
5559,transit_server_type_11
8037,transit_server_type_11
5027,transit_server_type_11
15133,transit_server_type_11
5068,transit_server_type_11
11826,transit_server_type_11
7409,transit_server_type_11
13614,transit_server_type_11
11313,transit_server_type_11
8573,transit_server_type_11
15618,transit_server_type_11
8730,transit_server_type_20
2841,transit_server_type_11
8263,transit_server_type_11
8193,transit_server_type_11
5821,transit_server_type_11
14864,transit_server_type_11
14864,transit_server_type_20
7818,transit_server_type_11
6636,transit_server_type_11
3113,transit_server_type_11
15555,transit_server_type_11
15974,transit_server_type_11
13273,transit_server_type_11
10465,transit_server_type_11
1491,transit_server_type_11
7546,transit_server_type_11
8854,transit_server_type_11
14462,transit_server_type_11
2734,transit_server_type_11
6446,transit_server_type_11
11239,transit_server_type_11
6193,transit_server_type_11
3765,transit_server_type_11
12944,transit_server_type_11
4302,transit_server_type_11
16468,transit_server_type_11
12624,transit_server_type_11
17530,transit_server_type_11
7503,transit_server_type_11
6457,transit_server_type_11
16725,transit_server_type_11
5029,transit_server_type_20
16681,transit_server_type_11
11843,transit_server_type_29
11843,transit_server_type_11
11843,transit_server_type_30
11843,transit_server_type_20
6231,transit_server_type_11
15803,transit_server_type_11
15803,transit_server_type_29
13480,transit_server_type_11
11928,transit_server_type_11
8963,transit_server_type_11
10844,transit_server_type_11
13067,transit_server_type_11
9769,transit_server_type_11
15970,transit_server_type_11
6715,transit_server_type_11
5206,transit_server_type_30
16675,transit_server_type_11
5468,transit_server_type_29
2854,transit_server_type_30
8225,transit_server_type_11
15497,transit_server_type_15
10940,transit_server_type_20
8120,transit_server_type_15
15689,transit_server_type_15
15689,transit_server_type_6
15689,transit_server_type_7
15689,transit_server_type_11
5597,transit_server_type_11
5597,transit_server_type_15
4315,transit_server_type_15
11976,transit_server_type_15
11976,transit_server_type_20
11976,transit_server_type_11
268,transit_server_type_11
11609,transit_server_type_15
15967,transit_server_type_11
15967,transit_server_type_13
2184,transit_server_type_13
2184,transit_server_type_22
2184,transit_server_type_11
17071,transit_server_type_23
13185,transit_server_type_18
13185,transit_server_type_11
17329,transit_server_type_18
17329,transit_server_type_11
9509,transit_server_type_11
9509,transit_server_type_13
587,transit_server_type_13
587,transit_server_type_11
14586,transit_server_type_13
14586,transit_server_type_11
3967,transit_server_type_13
3967,transit_server_type_11
4941,transit_server_type_14
4941,transit_server_type_11
16781,transit_server_type_11
16781,transit_server_type_13
15684,transit_server_type_20
525,transit_server_type_13
525,transit_server_type_11
17856,transit_server_type_11
17856,transit_server_type_13
6932,transit_server_type_13
6932,transit_server_type_11
9787,transit_server_type_13
9787,transit_server_type_14
9787,transit_server_type_11
4740,transit_server_type_13
4053,transit_server_type_11
6376,transit_server_type_13
6376,transit_server_type_11
13330,transit_server_type_13
13330,transit_server_type_11
8036,transit_server_type_13
3895,transit_server_type_11
333,transit_server_type_11
333,transit_server_type_13
16024,transit_server_type_14
16024,transit_server_type_11
10696,transit_server_type_14
10696,transit_server_type_11
17505,transit_server_type_13
17505,transit_server_type_11
4045,transit_server_type_13
4045,transit_server_type_11
18399,transit_server_type_13
18399,transit_server_type_11
11874,transit_server_type_13
11874,transit_server_type_11
17062,transit_server_type_11
17062,transit_server_type_13
8042,transit_server_type_11
11725,transit_server_type_11
750,transit_server_type_11
7315,transit_server_type_11
16339,transit_server_type_11
2212,transit_server_type_11
7545,transit_server_type_11
14767,transit_server_type_11
5282,transit_server_type_11
12389,transit_server_type_11
1380,transit_server_type_11
10409,transit_server_type_20
10658,transit_server_type_11
6144,transit_server_type_11
10370,transit_server_type_11
17852,transit_server_type_11
5032,transit_server_type_11
5370,transit_server_type_11
12273,transit_server_type_11
1998,transit_server_type_11
17379,transit_server_type_11
252,transit_server_type_11
14875,transit_server_type_11
6834,transit_server_type_11
9158,transit_server_type_11
8694,transit_server_type_11
7348,transit_server_type_11
12661,transit_server_type_11
7171,transit_server_type_11
4733,transit_server_type_11
1931,transit_server_type_11
14047,transit_server_type_11
611,transit_server_type_11
9354,transit_server_type_11
15287,transit_server_type_11
13403,transit_server_type_11
982,transit_server_type_11
8581,transit_server_type_11
7504,transit_server_type_11
17653,transit_server_type_11
2741,transit_server_type_11
10977,transit_server_type_20
8359,transit_server_type_11
7385,transit_server_type_11
8467,transit_server_type_32
8467,transit_server_type_11
11740,transit_server_type_11
9778,transit_server_type_11
15626,transit_server_type_11
3949,transit_server_type_11
3663,transit_server_type_32
17209,transit_server_type_11
400,transit_server_type_11
4861,transit_server_type_11
805,transit_server_type_11
11989,transit_server_type_11
748,transit_server_type_11
10508,transit_server_type_11
5977,transit_server_type_11
2090,transit_server_type_11
5257,transit_server_type_11
8159,transit_server_type_11
1135,transit_server_type_11
6679,transit_server_type_11
6313,transit_server_type_11
1231,transit_server_type_11
1706,transit_server_type_32
1706,transit_server_type_11
16741,transit_server_type_15
4629,transit_server_type_11
4629,transit_server_type_15
3491,transit_server_type_15
3491,transit_server_type_11
9852,transit_server_type_15
10293,transit_server_type_15
10293,transit_server_type_11
9596,transit_server_type_11
9596,transit_server_type_15
5300,transit_server_type_15
5300,transit_server_type_11
15871,transit_server_type_15
15871,transit_server_type_11
1566,transit_server_type_11
1566,transit_server_type_15
4254,transit_server_type_11
4254,transit_server_type_15
2652,transit_server_type_11
2652,transit_server_type_15
484,transit_server_type_15
484,transit_server_type_11
1588,transit_server_type_15
1588,transit_server_type_11
10561,transit_server_type_11
10561,transit_server_type_15
7174,transit_server_type_15
12209,transit_server_type_15
17627,transit_server_type_11
17627,transit_server_type_15
3701,transit_server_type_20
15517,transit_server_type_15
15517,transit_server_type_11
16136,transit_server_type_11
16136,transit_server_type_15
9720,transit_server_type_11
9720,transit_server_type_15
5184,transit_server_type_11
5184,transit_server_type_2
5184,transit_server_type_15
11581,transit_server_type_11
11581,transit_server_type_15
6327,transit_server_type_11
16645,transit_server_type_15
16645,transit_server_type_11
1704,transit_server_type_11
1704,transit_server_type_15
4279,transit_server_type_11
4279,transit_server_type_15
12527,transit_server_type_11
12527,transit_server_type_15
47,transit_server_type_15
47,transit_server_type_11
5617,transit_server_type_15
5617,transit_server_type_11
8530,transit_server_type_11
8530,transit_server_type_15
11653,transit_server_type_15
11653,transit_server_type_11
13920,transit_server_type_15
13920,transit_server_type_11
3191,transit_server_type_15
3191,transit_server_type_11
6439,transit_server_type_11
6439,transit_server_type_15
15350,transit_server_type_15
5512,transit_server_type_15
16346,transit_server_type_11
16346,transit_server_type_15
12308,transit_server_type_11
12308,transit_server_type_15
14668,transit_server_type_15
16441,transit_server_type_11
16562,transit_server_type_11
16562,transit_server_type_15
9919,transit_server_type_11
9919,transit_server_type_15
12731,transit_server_type_11
12731,transit_server_type_15
17525,transit_server_type_15
17525,transit_server_type_11
2829,transit_server_type_11
2829,transit_server_type_15
13065,transit_server_type_15
13065,transit_server_type_11
13888,transit_server_type_15
2067,transit_server_type_15
2067,transit_server_type_11
17949,transit_server_type_11
886,transit_server_type_11
886,transit_server_type_15
18120,transit_server_type_15
17434,transit_server_type_11
4884,transit_server_type_15
4884,transit_server_type_11
7017,transit_server_type_15
18407,transit_server_type_15
17867,transit_server_type_11
17867,transit_server_type_15
17134,transit_server_type_15
14131,transit_server_type_11
14131,transit_server_type_15
6517,transit_server_type_15
6517,transit_server_type_11
10666,transit_server_type_11
10666,transit_server_type_15
14592,transit_server_type_11
8759,transit_server_type_15
7878,transit_server_type_11
7878,transit_server_type_15
13792,transit_server_type_54
13792,transit_server_type_15
17833,transit_server_type_15
17833,transit_server_type_11
14360,transit_server_type_15
4591,transit_server_type_15
16142,transit_server_type_11
16142,transit_server_type_15
628,transit_server_type_15
893,transit_server_type_11
893,transit_server_type_15
11341,transit_server_type_15
6581,transit_server_type_15
13606,transit_server_type_15
10407,transit_server_type_15
17931,transit_server_type_15
6564,transit_server_type_15
9848,transit_server_type_15
9598,transit_server_type_11
9598,transit_server_type_15
12282,transit_server_type_15
12282,transit_server_type_11
15099,transit_server_type_15
11207,transit_server_type_15
11207,transit_server_type_11
6160,transit_server_type_15
12569,transit_server_type_15
12569,transit_server_type_11
10492,transit_server_type_15
1126,transit_server_type_11
1126,transit_server_type_15
3684,transit_server_type_11
3684,transit_server_type_15
11968,transit_server_type_11
11968,transit_server_type_15
9372,transit_server_type_15
9372,transit_server_type_11
1477,transit_server_type_15
14661,transit_server_type_11
14997,transit_server_type_15
2322,transit_server_type_11
2322,transit_server_type_15
7354,transit_server_type_11
7354,transit_server_type_15
11981,transit_server_type_15
7279,transit_server_type_11
7279,transit_server_type_15
386,transit_server_type_11
386,transit_server_type_15
7835,transit_server_type_15
7835,transit_server_type_11
12590,transit_server_type_15
12590,transit_server_type_11
4092,transit_server_type_15
4092,transit_server_type_11
14100,transit_server_type_15
9722,transit_server_type_15
12495,transit_server_type_15
12227,transit_server_type_15
12227,transit_server_type_11
5693,transit_server_type_15
13688,transit_server_type_15
17825,transit_server_type_15
11878,transit_server_type_15
13552,transit_server_type_15
13552,transit_server_type_11
10520,transit_server_type_11
10520,transit_server_type_15
10137,transit_server_type_15
10137,transit_server_type_11
855,transit_server_type_11
855,transit_server_type_15
17557,transit_server_type_15
3667,transit_server_type_15
11352,transit_server_type_15
11352,transit_server_type_20
13408,transit_server_type_15
5178,transit_server_type_15
7372,transit_server_type_15
7372,transit_server_type_2
7372,transit_server_type_3
7372,transit_server_type_5
5784,transit_server_type_15
5784,transit_server_type_3
5784,transit_server_type_7
5784,transit_server_type_5
5784,transit_server_type_6
4047,transit_server_type_15
11367,transit_server_type_15
17801,transit_server_type_15
460,transit_server_type_15
12790,transit_server_type_15
2999,transit_server_type_15
5476,transit_server_type_15
17540,transit_server_type_11
17540,transit_server_type_15
8880,transit_server_type_15
13391,transit_server_type_15
13391,transit_server_type_11
12112,transit_server_type_15
10676,transit_server_type_15
11133,transit_server_type_15
1508,transit_server_type_15
375,transit_server_type_15
375,transit_server_type_11
12473,transit_server_type_15
3692,transit_server_type_15
14557,transit_server_type_11
14557,transit_server_type_15
17724,transit_server_type_11
17724,transit_server_type_15
8673,transit_server_type_15
18253,transit_server_type_15
595,transit_server_type_15
6565,transit_server_type_15
17749,transit_server_type_15
10783,transit_server_type_15
2216,transit_server_type_15
15716,transit_server_type_15
18116,transit_server_type_11
18116,transit_server_type_15
10572,transit_server_type_15
8234,transit_server_type_15
11189,transit_server_type_11
11189,transit_server_type_15
11895,transit_server_type_11
11895,transit_server_type_15
4658,transit_server_type_11
4674,transit_server_type_15
2991,transit_server_type_15
6747,transit_server_type_15
3052,transit_server_type_15
6990,transit_server_type_15
5439,transit_server_type_15
5439,transit_server_type_11
13612,transit_server_type_15
13612,transit_server_type_11
8173,transit_server_type_15
6902,transit_server_type_15
18176,transit_server_type_11
18176,transit_server_type_15
11790,transit_server_type_11
11790,transit_server_type_15
15693,transit_server_type_15
15693,transit_server_type_11
5320,transit_server_type_15
5320,transit_server_type_11
3877,transit_server_type_15
13361,transit_server_type_11
13361,transit_server_type_15
15072,transit_server_type_15
9280,transit_server_type_15
3789,transit_server_type_15
14664,transit_server_type_15
14664,transit_server_type_11
14647,transit_server_type_11
9980,transit_server_type_15
1382,transit_server_type_15
16456,transit_server_type_15
13078,transit_server_type_15
7360,transit_server_type_15
1493,transit_server_type_15
5731,transit_server_type_15
10329,transit_server_type_11
10329,transit_server_type_15
267,transit_server_type_15
14087,transit_server_type_15
13440,transit_server_type_15
13440,transit_server_type_11
11758,transit_server_type_15
14439,transit_server_type_11
8355,transit_server_type_15
11357,transit_server_type_15
17017,transit_server_type_15
5304,transit_server_type_15
10803,transit_server_type_15
17568,transit_server_type_15
4620,transit_server_type_15
12275,transit_server_type_15
7146,transit_server_type_15
11896,transit_server_type_15
10403,transit_server_type_15
45,transit_server_type_15
9928,transit_server_type_15
2091,transit_server_type_15
12939,transit_server_type_15
16012,transit_server_type_11
16012,transit_server_type_2
16012,transit_server_type_15
1368,transit_server_type_15
10790,transit_server_type_11
10790,transit_server_type_15
9911,transit_server_type_15
14907,transit_server_type_15
6638,transit_server_type_15
10857,transit_server_type_15
4470,transit_server_type_15
4470,transit_server_type_11
15434,transit_server_type_15
15434,transit_server_type_11
7667,transit_server_type_15
3327,transit_server_type_15
12278,transit_server_type_15
6267,transit_server_type_15
17581,transit_server_type_15
8269,transit_server_type_15
7055,transit_server_type_35
7055,transit_server_type_34
14032,transit_server_type_35
14032,transit_server_type_34
13543,transit_server_type_35
13543,transit_server_type_34
13341,transit_server_type_35
13341,transit_server_type_34
17440,transit_server_type_34
17440,transit_server_type_35
6379,transit_server_type_34
6379,transit_server_type_35
7864,transit_server_type_34
7864,transit_server_type_35
10047,transit_server_type_34
10047,transit_server_type_35
10047,transit_server_type_20
6837,transit_server_type_34
6837,transit_server_type_35
8007,transit_server_type_35
8007,transit_server_type_34
6931,transit_server_type_34
6931,transit_server_type_35
5846,transit_server_type_35
5846,transit_server_type_34
11038,transit_server_type_34
11038,transit_server_type_35
10687,transit_server_type_34
10687,transit_server_type_35
7866,transit_server_type_34
7866,transit_server_type_35
3881,transit_server_type_34
3881,transit_server_type_35
12143,transit_server_type_35
12143,transit_server_type_34
3066,transit_server_type_35
3066,transit_server_type_34
6689,transit_server_type_34
6689,transit_server_type_35
6387,transit_server_type_35
6387,transit_server_type_34
11651,transit_server_type_34
11651,transit_server_type_35
3864,transit_server_type_34
3864,transit_server_type_35
9441,transit_server_type_35
9441,transit_server_type_34
15640,transit_server_type_35
15640,transit_server_type_34
13801,transit_server_type_35
13801,transit_server_type_34
12836,transit_server_type_34
12836,transit_server_type_35
10058,transit_server_type_34
10058,transit_server_type_35
14839,transit_server_type_35
14839,transit_server_type_34
1810,transit_server_type_35
1810,transit_server_type_34
15538,transit_server_type_34
4217,transit_server_type_34
4217,transit_server_type_35
6838,transit_server_type_35
6838,transit_server_type_34
8619,transit_server_type_34
8619,transit_server_type_35
5714,transit_server_type_35
5714,transit_server_type_34
7137,transit_server_type_35
7137,transit_server_type_34
10001,transit_server_type_34
10001,transit_server_type_35
5785,transit_server_type_35
5785,transit_server_type_34
2162,transit_server_type_34
2162,transit_server_type_35
17358,transit_server_type_34
17358,transit_server_type_35
13837,transit_server_type_35
13837,transit_server_type_34
17034,transit_server_type_34
17034,transit_server_type_35
1933,transit_server_type_34
1933,transit_server_type_35
12182,transit_server_type_34
18421,transit_server_type_34
18421,transit_server_type_35
12104,transit_server_type_35
12104,transit_server_type_34
3431,transit_server_type_35
3431,transit_server_type_34
2437,transit_server_type_35
2437,transit_server_type_34
17751,transit_server_type_35
17751,transit_server_type_34
3429,transit_server_type_34
3429,transit_server_type_20
3429,transit_server_type_35
11150,transit_server_type_34
11150,transit_server_type_35
7952,transit_server_type_35
7952,transit_server_type_20
10593,transit_server_type_34
10593,transit_server_type_35
516,transit_server_type_35
516,transit_server_type_34
17647,transit_server_type_35
17647,transit_server_type_34
10956,transit_server_type_35
10956,transit_server_type_34
2550,transit_server_type_35
2550,transit_server_type_34
14153,transit_server_type_35
5081,transit_server_type_34
5081,transit_server_type_35
12379,transit_server_type_35
1663,transit_server_type_20
1663,transit_server_type_35
1663,transit_server_type_34
10627,transit_server_type_35
10627,transit_server_type_34
2656,transit_server_type_34
2656,transit_server_type_35
4317,transit_server_type_35
15568,transit_server_type_35
