id,area_code,outage_duration
9301,area_600,2
15273,area_704,0
6224,area_1061,0
14608,area_451,0
16729,area_851,1
2987,area_126,0
14278,area_644,0
12599,area_638,0
7484,area_202,0
10479,area_1116,0
843,area_895,2
6893,area_206,0
17334,area_124,0
12228,area_808,0
11376,area_477,0
5767,area_494,0
7747,area_393,1
17636,area_834,2
8680,area_1042,0
14044,area_962,1
5346,area_229,0
6128,area_891,0
16779,area_744,1
465,area_684,2
13472,area_661,0
11739,area_95,0
14402,area_830,0
292,area_242,0
14219,area_489,0
502,area_290,0
6410,area_919,0
7989,area_584,0
11585,area_44,0
11761,area_476,0
10723,area_286,1
4929,area_691,1
1996,area_808,0
10510,area_518,0
16939,area_560,1
2631,area_470,0
13836,area_107,1
14467,area_1031,0
14583,area_1086,1
3989,area_380,0
11707,area_641,1
11407,area_471,0
15082,area_488,0
13362,area_878,0
12479,area_1107,1
16121,area_805,0
11421,area_885,1
13186,area_7,0
3753,area_471,0
8087,area_684,2
636,area_102,1
8672,area_494,0
6206,area_118,0
10099,area_760,1
10044,area_829,0
3742,area_960,1
4180,area_324,0
17015,area_292,0
3512,area_145,0
8132,area_1035,1
3501,area_821,1
2302,area_644,0
14529,area_242,0
11748,area_496,0
15194,area_283,0
18525,area_810,2
17203,area_282,0
6391,area_128,0
18182,area_506,0
5587,area_1119,0
4501,area_888,0
5887,area_672,0
15988,area_1107,0
12109,area_662,0
8938,area_814,0
8929,area_834,0
831,area_126,0
17970,area_195,0
1379,area_1095,0
5608,area_470,0
13025,area_250,0
411,area_734,1
18419,area_600,2
7490,area_834,2
5976,area_962,0
7023,area_599,2
5358,area_1111,1
5493,area_1117,0
5925,area_484,0
2627,area_118,0
17857,area_504,0
14567,area_92,0
1184,area_851,0
5202,area_648,0
18033,area_288,0
6741,area_1066,1
2055,area_1056,0
13265,area_465,0
11261,area_541,1
4301,area_467,0
6467,area_1035,1
12936,area_894,1
3960,area_91,0
10590,area_475,0
16054,area_864,2
17524,area_210,0
7824,area_376,0
8623,area_944,0
12812,area_925,0
13204,area_895,2
11882,area_240,0
7902,area_891,0
2117,area_963,0
17096,area_1107,2
14375,area_284,0
6522,area_893,1
6406,area_808,0
17824,area_495,0
4056,area_961,1
3332,area_468,0
10941,area_836,0
7006,area_653,0
10020,area_604,0
8178,area_995,1
16912,area_932,0
12919,area_921,2
18416,area_1109,2
7804,area_1078,0
5547,area_793,0
10350,area_507,0
3800,area_600,0
9349,area_276,0
5101,area_822,1
9214,area_128,1
15677,area_229,0
5273,area_640,1
15720,area_1097,1
10293,area_1018,0
9912,area_124,0
18049,area_1093,1
6221,area_909,2
2410,area_50,0
5707,area_921,2
10829,area_1045,0
8017,area_609,0
17473,area_477,0
12649,area_434,1
6575,area_931,0
1094,area_448,0
15361,area_485,0
4483,area_270,0
16598,area_122,0
13178,area_7,0
11244,area_570,1
4383,area_315,0
12676,area_519,0
15924,area_613,0
10427,area_229,1
4731,area_834,0
15479,area_893,0
9915,area_476,0
12132,area_157,0
11657,area_184,0
6810,area_255,0
3173,area_734,2
3793,area_955,0
18232,area_380,0
2183,area_7,1
4569,area_818,1
12903,area_472,0
3208,area_797,1
4839,area_342,1
7635,area_925,0
13353,area_1026,0
3736,area_712,0
16173,area_167,0
3832,area_519,0
8062,area_102,0
11653,area_1018,0
8049,area_465,0
262,area_994,0
18093,area_1083,1
4061,area_1052,1
14713,area_155,0
14256,area_39,0
2998,area_1086,1
5159,area_268,0
17440,area_102,0
9909,area_389,0
4196,area_999,1
734,area_313,0
6827,area_800,0
4238,area_931,0
13434,area_465,0
5419,area_116,0
7970,area_1079,0
11054,area_805,0
15029,area_1055,0
13826,area_95,0
16228,area_363,0
16934,area_643,0
54,area_488,0
8162,area_856,1
2565,area_897,1
3091,area_498,0
12909,area_84,1
1385,area_122,0
4624,area_601,1
17342,area_1042,0
15613,area_653,0
14340,area_355,0
10341,area_90,0
12978,area_1010,0
1050,area_881,0
10852,area_373,0
9953,area_465,0
2021,area_1072,0
841,area_949,1
11886,area_754,0
11250,area_323,0
12198,area_1052,0
12324,area_1109,1
15176,area_1100,2
5693,area_1019,2
3653,area_244,0
9192,area_441,0
16050,area_472,0
16241,area_460,1
10860,area_475,0
13681,area_226,1
1646,area_1111,0
5303,area_1061,1
6527,area_752,1
6240,area_1052,2
1070,area_805,0
8803,area_506,0
693,area_1052,1
15451,area_613,0
4314,area_549,0
10839,area_696,0
5539,area_496,0
14922,area_230,0
12001,area_527,0
2323,area_485,0
8945,area_1067,1
16180,area_248,0
6546,area_467,0
1015,area_1088,0
12030,area_707,0
9944,area_1026,1
11813,area_518,0
9144,area_262,1
16527,area_122,0
11430,area_135,0
10545,area_613,1
10767,area_97,0
17495,area_995,2
3781,area_223,1
13620,area_942,1
11953,area_613,2
3806,area_128,0
10442,area_459,0
16889,area_723,1
12922,area_496,0
914,area_714,1
17838,area_481,0
18127,area_943,1
4557,area_1024,0
11698,area_744,0
8422,area_1120,1
10131,area_471,0
561,area_641,0
698,area_821,0
16494,area_707,0
11252,area_600,0
7632,area_808,0
13235,area_696,0
6831,area_699,0
8469,area_122,0
3092,area_381,0
10620,area_244,0
971,area_485,0
1712,area_443,1
12759,area_380,0
14319,area_410,0
4762,area_536,1
1946,area_1033,1
601,area_543,0
13027,area_298,0
5483,area_470,0
5950,area_984,1
1876,area_891,0
8606,area_243,0
9713,area_499,0
8892,area_97,1
14479,area_957,0
16537,area_467,0
6699,area_639,0
15555,area_1010,0
1806,area_793,0
15028,area_826,1
1488,area_504,0
68,area_684,2
7067,area_684,0
17337,area_471,0
626,area_505,0
9687,area_469,0
13259,area_244,0
9154,area_300,1
9616,area_257,0
13172,area_694,0
4161,area_1023,1
8351,area_707,0
15993,area_885,0
18299,area_932,0
978,area_802,1
4896,area_249,1
11648,area_744,1
15773,area_445,0
1517,area_426,0
8011,area_1,0
8489,area_583,0
4963,area_704,2
5156,area_977,0
3072,area_118,0
9977,area_480,0
12043,area_126,0
14016,area_744,1
16752,area_931,0
17300,area_322,0
4335,area_917,1
6532,area_465,0
2219,area_1038,1
8496,area_460,1
1832,area_755,0
17860,area_1112,0
6977,area_600,2
6688,area_1086,1
10779,area_300,0
12868,area_151,0
18044,area_600,0
9321,area_480,0
10252,area_793,0
10847,area_244,0
14241,area_57,1
13056,area_837,0
13045,area_691,0
11566,area_484,0
17876,area_898,1
9508,area_488,0
7648,area_495,0
272,area_497,0
4044,area_826,0
16989,area_931,2
8755,area_448,1
6889,area_242,0
1264,area_808,0
5823,area_460,1
13706,area_369,0
12969,area_976,1
11616,area_13,0
4435,area_558,1
4975,area_806,0
238,area_810,0
991,area_946,0
18222,area_613,2
16660,area_1099,0
1965,area_664,0
8012,area_618,0
16815,area_459,0
13296,area_999,1
18270,area_644,1
2141,area_957,1
15221,area_1120,1
321,area_921,1
11599,area_803,1
14284,area_147,0
7850,area_1121,1
1447,area_642,1
1014,area_118,0
7836,area_181,0
12179,area_700,1
17559,area_353,1
12799,area_533,0
7697,area_126,0
1424,area_414,0
16913,area_707,0
1087,area_1107,0
1342,area_691,0
1814,area_894,0
8800,area_1107,2
14032,area_102,0
12473,area_1019,2
14012,area_466,0
12389,area_1015,0
10032,area_311,1
13989,area_507,0
15158,area_1095,0
6567,area_763,0
8997,area_857,1
2891,area_157,0
13912,area_23,1
8416,area_505,0
179,area_506,0
15144,area_821,2
12349,area_600,2
1948,area_443,0
17803,area_613,1
11057,area_386,0
9418,area_264,1
8027,area_169,0
16695,area_478,0
14127,area_821,1
7773,area_496,0
10542,area_760,1
6479,area_475,0
3025,area_808,0
7306,area_149,0
11418,area_244,0
4740,area_1014,1
6384,area_1088,1
6382,area_442,0
16547,area_373,0
16131,area_893,0
7138,area_363,0
1314,area_810,0
12982,area_74,1
1457,area_127,0
10961,area_1096,0
1628,area_224,1
2506,area_846,1
6548,area_17,0
15659,area_477,0
18217,area_566,0
1793,area_1107,2
12444,area_314,0
3787,area_128,0
12478,area_102,1
12609,area_1086,0
7442,area_268,0
1351,area_103,0
8858,area_1058,1
7882,area_823,0
4287,area_638,1
8590,area_897,2
11487,area_92,0
10113,area_469,0
18548,area_278,0
10379,area_126,0
2848,area_465,0
13254,area_919,1
14734,area_734,2
15523,area_445,0
4670,area_1063,0
10946,area_507,0
13641,area_790,0
11078,area_894,0
2460,area_445,0
665,area_1008,1
8808,area_495,0
7640,area_998,0
11297,area_603,0
1583,area_821,1
16339,area_1015,0
12840,area_808,0
15100,area_802,1
6781,area_57,1
15031,area_939,0
2918,area_362,0
14439,area_1019,2
2415,area_290,0
15822,area_252,0
6219,area_674,2
13856,area_798,0
11431,area_34,0
3174,area_157,0
12393,area_691,1
10435,area_995,0
13935,area_945,0
6739,area_691,0
3226,area_479,0
813,area_737,0
5837,area_816,0
18474,area_821,0
11134,area_1083,0
16116,area_126,0
11797,area_794,0
17071,area_1014,0
2649,area_114,0
16412,area_242,0
16909,area_609,0
4764,area_509,0
2516,area_823,0
5997,area_760,0
3249,area_839,2
15878,area_601,0
12365,area_682,0
489,area_72,1
6633,area_73,1
129,area_726,0
7609,area_468,0
12644,area_744,0
3962,area_506,0
13983,area_505,0
1217,area_451,0
13970,area_845,2
2290,area_1052,2
10183,area_814,0
4274,area_962,2
3692,area_1019,2
9121,area_627,1
14948,area_1067,1
883,area_1030,0
15214,area_919,0
17424,area_402,1
16740,area_584,0
13032,area_879,0
2354,area_686,0
12219,area_809,0
1500,area_1101,0
1778,area_667,2
14979,area_896,0
2424,area_1072,0
18300,area_244,0
16426,area_1052,2
18550,area_12,0
2906,area_1,0
5296,area_484,0
11037,area_1008,2
16991,area_135,0
2816,area_469,0
11135,area_126,0
8218,area_931,1
15563,area_995,2
15700,area_509,0
14215,area_692,0
15223,area_451,0
7798,area_618,1
11923,area_350,1
14942,area_894,0
11027,area_1111,0
2965,area_344,1
18275,area_380,0
17546,area_276,0
2884,area_877,0
2159,area_693,0
6373,area_475,0
6604,area_877,1
10953,area_504,0
15632,area_181,1
3267,area_1107,1
14815,area_13,0
4291,area_114,1
7017,area_1018,1
7997,area_906,1
17421,area_845,1
15840,area_488,0
7332,area_391,0
5753,area_639,0
13230,area_817,0
8667,area_760,1
1271,area_410,0
17879,area_763,2
2637,area_950,0
11742,area_613,2
8102,area_643,0
7968,area_471,0
11752,area_505,0
9803,area_124,0
6344,area_1055,0
13065,area_1018,0
17938,area_122,0
9096,area_968,0
1479,area_602,0
4605,area_7,0
14233,area_1029,0
15426,area_825,1
6169,area_655,0
11661,area_707,0
12639,area_292,0
13488,area_93,1
17800,area_484,0
3229,area_984,0
5728,area_734,0
12716,area_460,1
7076,area_1026,0
8781,area_311,1
11526,area_600,2
3256,area_7,0
10173,area_891,0
14446,area_126,0
6854,area_890,0
4986,area_16,0
519,area_122,0
15072,area_1019,1
5958,area_122,0
15430,area_963,0
6632,area_116,0
11298,area_984,0
15989,area_878,0
16223,area_226,0
4846,area_849,0
3782,area_619,1
949,area_651,0
17624,area_448,0
2273,area_814,0
809,area_204,1
14696,area_834,0
6205,area_938,1
638,area_371,1
5336,area_498,0
14703,area_693,1
14426,area_793,0
6509,area_126,0
16544,area_1052,0
7062,area_881,0
3058,area_240,0
1574,area_1008,0
8651,area_616,0
5807,area_135,0
13177,area_13,0
5876,area_506,0
14390,area_876,1
1320,area_875,0
4685,area_653,0
15347,area_962,2
4261,area_443,0
906,area_1120,0
11781,area_1044,0
4482,area_483,0
4619,area_1081,1
2588,area_1,0
13568,area_805,0
873,area_655,1
14041,area_714,0
8627,area_599,1
7046,area_798,1
5157,area_644,0
16975,area_284,1
12294,area_641,2
18254,area_468,0
14132,area_102,0
3451,area_103,0
17444,area_348,0
363,area_809,0
5192,area_881,0
2233,area_839,1
9925,area_8,0
7399,area_159,1
12318,area_1000,0
1556,area_735,0
8844,area_373,0
797,area_126,0
8947,area_818,1
6585,area_866,2
12742,area_280,1
6910,area_447,0
17108,area_818,1
9752,area_995,2
9949,area_282,1
5381,area_600,2
17340,area_577,0
7637,area_974,2
5246,area_347,0
16155,area_603,0
12108,area_1086,0
8676,area_118,0
8554,area_659,1
6362,area_942,1
2594,area_1098,2
9879,area_1008,1
15307,area_242,0
9536,area_420,1
14737,area_798,2
2909,area_834,2
7699,area_875,0
12695,area_839,0
1770,area_1063,1
1762,area_1053,1
14287,area_870,0
7961,area_450,0
13483,area_496,0
9601,area_894,0
13451,area_921,1
10841,area_1053,1
1909,area_846,2
12325,area_88,1
14601,area_19,0
6805,area_420,1
13322,area_1076,0
4637,area_618,0
12411,area_1095,1
5901,area_1054,0
11155,area_91,0
12283,area_944,1
12631,area_47,0
13340,area_810,0
11390,area_737,0
6225,area_821,1
15712,area_485,0
1828,area_664,0
17027,area_684,2
2010,area_808,0
640,area_744,0
11912,area_1049,0
4143,area_1095,0
948,area_1038,1
4259,area_124,0
7338,area_1089,1
2284,area_795,0
12772,area_466,0
2842,area_1030,0
1054,area_1084,1
2713,area_919,0
9996,area_821,2
17841,area_763,0
9059,area_1008,0
2239,area_638,0
11776,area_1023,1
11765,area_821,1
80,area_194,0
1544,area_865,1
2929,area_845,0
2674,area_116,0
17009,area_662,0
4591,area_1019,0
9636,area_123,0
4694,area_759,0
5928,area_1008,2
3346,area_277,0
741,area_1051,0
2432,area_923,0
446,area_1056,1
15209,area_734,0
4034,area_507,0
10201,area_878,0
9661,area_608,0
16314,area_1052,1
12090,area_921,1
10591,area_834,2
11019,area_1082,0
6148,area_957,0
15494,area_1,0
6975,area_653,2
7032,area_300,0
16531,area_344,0
15741,area_149,0
8288,area_1061,1
13492,area_653,1
10089,area_845,2
10382,area_474,0
18530,area_756,0
18542,area_495,0
7675,area_184,1
14461,area_684,0
13212,area_769,2
16953,area_242,0
10333,area_740,0
2589,area_679,1
11670,area_995,2
4876,area_891,0
8634,area_467,0
17103,area_1052,0
8228,area_756,1
8487,area_721,1
364,area_148,0
7953,area_976,0
14775,area_480,0
10561,area_1018,0
17599,area_794,1
12877,area_881,1
15124,area_1107,1
7206,area_124,0
14719,area_400,0
7243,area_485,0
2092,area_117,0
9420,area_892,0
6951,area_1087,0
10544,area_242,0
5932,area_995,1
13606,area_1019,0
1904,area_892,0
11713,area_373,0
18412,area_977,0
9557,area_1077,0
7259,area_91,0
13,area_418,0
14330,area_256,0
6130,area_495,0
1707,area_505,0
13764,area_126,0
14454,area_490,0
1051,area_480,0
4720,area_152,0
8371,area_830,2
10500,area_891,0
11618,area_484,0
13952,area_734,1
10795,area_810,2
13698,area_810,1
3917,area_661,0
909,area_59,1
6962,area_437,1
3337,area_613,1
11552,area_601,0
15211,area_735,0
1543,area_798,1
10863,area_309,0
5714,area_102,0
486,area_821,0
7821,area_845,0
3459,area_846,2
6601,area_814,0
11077,area_281,0
4125,area_242,0
9650,area_120,1
17068,area_1052,0
10838,area_884,2
6448,area_475,0
9611,area_1042,1
15146,area_806,0
8103,area_450,0
17616,area_793,0
4941,area_1014,1
11457,area_837,1
8875,area_1033,1
10346,area_326,1
8262,area_519,0
484,area_1018,0
17330,area_808,0
12414,area_141,1
1258,area_757,1
15242,area_181,0
11307,area_798,2
784,area_445,0
7603,area_477,0
12194,area_1008,0
5828,area_732,0
5123,area_344,1
17836,area_255,1
4566,area_794,0
2074,area_507,0
10351,area_895,2
3593,area_465,0
12472,area_107,0
196,area_782,0
10199,area_211,0
14130,area_532,1
18055,area_821,0
14635,area_460,0
13269,area_1107,2
2258,area_767,1
11189,area_1019,2
10722,area_808,0
11317,area_875,1
11310,area_328,0
858,area_1083,0
4938,area_938,0
6061,area_638,0
18111,area_963,0
8313,area_798,2
15729,area_864,1
17935,area_944,1
10437,area_540,2
14816,area_769,0
15863,area_925,2
17517,area_475,0
206,area_805,0
14391,area_690,0
14179,area_836,0
15333,area_205,0
6239,area_356,1
7922,area_742,0
7800,area_290,0
3210,area_899,0
12873,area_476,0
10553,area_846,2
18413,area_1002,0
420,area_686,0
12733,area_329,0
1425,area_944,0
18054,area_296,1
10625,area_881,0
84,area_745,1
5207,area_627,1
6089,area_846,2
4658,area_1019,0
1665,area_846,1
17426,area_488,0
12316,area_240,0
2823,area_299,0
14486,area_480,0
15292,area_498,0
217,area_13,1
16049,area_894,0
15456,area_684,2
17807,area_903,1
4749,area_309,1
11764,area_805,0
5183,area_596,1
16170,area_465,0
14266,area_320,0
2802,area_484,0
12441,area_826,1
9973,area_485,0
1485,area_702,0
6365,area_645,0
17021,area_141,0
13880,area_618,1
11166,area_848,0
15034,area_181,0
17429,area_155,0
12651,area_1030,1
7444,area_627,0
6754,area_696,0
12103,area_716,0
11278,area_133,0
8390,area_998,1
3207,area_491,0
269,area_891,0
9353,area_95,0
5964,area_709,0
10663,area_89,0
5798,area_604,1
16213,area_466,0
7725,area_690,0
8625,area_714,1
12363,area_1086,1
5393,area_670,1
9594,area_793,0
1166,area_584,0
7377,area_1068,0
4419,area_945,1
11529,area_375,0
16901,area_763,0
7827,area_734,0
681,area_1099,0
17809,area_479,0
13142,area_466,0
8055,area_481,1
377,area_735,0
9372,area_1019,0
7733,area_823,1
4368,area_638,2
10010,area_520,0
10624,area_442,0
10906,area_537,1
38,area_468,0
3214,area_734,0
6217,area_476,0
14336,area_1106,1
11820,area_895,1
16557,area_793,0
11695,area_244,1
14253,area_653,0
2170,area_931,2
7980,area_845,1
7148,area_1033,0
4873,area_378,0
4588,area_360,1
10362,area_251,0
12229,area_704,0
7573,area_797,1
17438,area_653,2
16198,area_963,0
11926,area_737,0
10584,area_849,0
12944,area_1010,0
1787,area_599,2
15103,area_206,0
13609,area_476,0
9776,area_808,0
869,area_282,0
6531,area_478,0
5365,area_128,0
16056,area_100,0
2197,area_916,0
3104,area_704,0
9727,area_102,0
13684,area_607,0
5306,area_654,1
2287,area_697,0
10952,area_414,0
11772,area_810,2
5733,area_798,0
9753,area_794,0
3195,area_816,1
10762,area_707,0
14370,area_1075,0
2237,area_135,0
9166,area_946,0
1988,area_825,1
13762,area_894,0
12452,area_894,0
15514,area_430,0
17512,area_466,0
6694,area_995,1
1283,area_380,0
7135,area_474,0
4549,area_921,1
11003,area_126,0
13216,area_948,1
17204,area_831,0
13496,area_1071,0
7503,area_1010,1
15310,area_909,0
83,area_149,0
4144,area_651,1
7364,area_597,0
6686,area_56,0
60,area_931,0
492,area_692,0
11401,area_388,1
4423,area_767,1
9323,area_802,1
1248,area_648,2
18210,area_704,0
14199,area_401,0
11052,area_342,0
10366,area_846,0
2759,area_1094,0
8613,area_469,0
1666,area_1008,0
2730,area_498,0
2311,area_494,0
13384,area_139,1
10957,area_836,0
16572,area_613,0
12224,area_810,0
4468,area_476,0
5277,area_414,1
7468,area_754,1
8100,area_91,0
4208,area_466,0
15315,area_481,0
13875,area_460,0
16266,area_122,0
8009,area_611,0
552,area_745,1
2618,area_600,2
6577,area_760,1
12917,area_297,0
3726,area_1030,0
14155,area_149,0
17538,area_1107,2
7331,area_584,0
3407,area_1109,0
15946,area_895,2
9788,area_616,0
1976,area_460,0
17431,area_655,0
18161,area_696,0
14210,area_491,0
6885,area_535,2
11693,area_124,0
5295,area_921,1
8727,area_885,0
2879,area_313,0
1540,area_1084,1
14217,area_1052,0
11853,area_704,1
10903,area_479,0
1069,area_126,0
6440,area_1052,1
10694,area_1107,0
9926,area_91,0
10528,area_208,0
1977,area_184,0
6407,area_643,2
5430,area_124,0
6459,area_765,0
15438,area_814,0
8138,area_495,0
16821,area_242,0
3952,area_1,1
11177,area_380,0
11269,area_130,0
7113,area_546,0
10800,area_892,1
43,area_300,0
17338,area_1061,2
1296,area_846,2
17362,area_851,0
9862,area_234,1
14731,area_744,1
7952,area_102,0
11080,area_497,0
1530,area_1052,0
3883,area_810,0
1877,area_837,0
549,area_495,0
4386,area_1066,1
8535,area_763,2
3821,area_643,0
8265,area_319,0
4725,area_810,2
3762,area_875,0
853,area_159,0
13053,area_460,0
23,area_257,0
15671,area_252,1
17581,area_1019,2
9087,area_795,0
2861,area_1107,0
10748,area_853,0
10060,area_823,0
16468,area_1010,0
4030,area_186,0
16409,area_12,0
16171,area_830,1
10972,area_826,1
9254,area_476,0
8763,area_948,1
4307,area_707,0
14270,area_493,0
16874,area_1099,0
10750,area_600,2
5777,area_147,0
17898,area_962,0
6054,area_653,2
4979,area_1110,1
7789,area_889,1
14496,area_161,0
1694,area_1088,1
3954,area_139,1
2571,area_892,0
14575,area_768,0
8123,area_476,0
16010,area_891,0
13391,area_1019,2
1019,area_464,0
14304,area_495,0
1959,area_248,0
12018,area_242,0
17738,area_705,0
13661,area_653,1
7295,area_821,1
15915,area_821,0
3636,area_242,0
13058,area_346,0
2997,area_995,2
6121,area_369,0
8211,area_851,0
13538,area_709,0
15622,area_1075,1
9888,area_826,1
2518,area_798,1
17034,area_102,0
10577,area_149,0
7639,area_1069,1
961,area_925,0
15499,area_995,1
14879,area_326,1
16988,area_657,0
9181,area_825,1
11499,area_894,0
8609,area_270,1
18440,area_603,1
7224,area_501,0
550,area_1031,0
14400,area_735,0
7594,area_1086,2
5203,area_468,0
14356,area_742,0
7868,area_655,0
13339,area_493,0
10416,area_135,0
4175,area_684,1
6872,area_1097,0
4980,area_311,0
11518,area_756,1
902,area_763,1
8312,area_875,0
11171,area_894,0
17088,area_430,1
18019,area_834,0
92,area_600,0
4021,area_1052,0
9853,area_1025,0
5546,area_270,0
9331,area_165,0
17527,area_675,1
17897,area_475,0
9039,area_1111,1
10302,area_282,1
438,area_684,2
4186,area_814,0
15539,area_1026,0
2268,area_1067,1
2923,area_994,0
13105,area_846,2
13850,area_1054,0
3528,area_879,0
5873,area_135,0
373,area_834,2
5339,area_1074,0
17673,area_718,0
5317,area_518,0
16455,area_1031,0
2688,area_978,1
17327,area_258,1
6753,area_91,0
12782,area_821,2
12745,area_821,1
4155,area_466,0
7955,area_707,1
11520,area_756,0
17721,area_609,0
14972,area_899,0
17748,area_1063,0
15047,area_937,2
18480,area_485,0
3659,area_1060,0
6616,area_909,1
10745,area_469,0
9366,area_976,1
13455,area_155,1
17537,area_208,0
504,area_798,0
2653,area_100,0
11293,area_793,0
4439,area_475,0
3553,area_1052,1
1704,area_1018,1
12396,area_1107,0
9580,area_856,1
16035,area_152,0
7602,area_208,1
2136,area_600,0
7619,area_851,0
17536,area_505,0
17606,area_925,0
553,area_798,0
17356,area_136,0
2274,area_1034,0
11187,area_619,1
4090,area_309,0
14716,area_793,0
16376,area_684,0
5559,area_1010,0
2932,area_957,1
3945,area_684,2
691,area_931,0
1455,area_734,0
4959,area_607,0
16847,area_932,0
10630,area_147,0
6273,area_994,0
8036,area_1014,0
18143,area_465,0
2001,area_478,0
11325,area_649,1
12055,area_1052,0
3572,area_683,0
7683,area_501,0
17745,area_1008,1
57,area_1075,1
18449,area_173,0
6813,area_1115,1
9028,area_1042,2
11964,area_638,2
16661,area_453,0
10130,area_492,0
9808,area_1100,2
6808,area_653,1
444,area_326,1
9006,area_226,1
17650,area_1033,1
9784,area_485,0
8008,area_325,0
12517,area_76,1
1937,area_128,0
14038,area_973,0
14075,area_489,0
5340,area_1026,2
15589,area_495,0
3248,area_130,0
6598,area_496,0
17029,area_640,0
496,area_481,0
14026,area_172,1
10326,area_707,0
1566,area_1018,0
17213,area_653,1
2017,area_1038,1
4273,area_600,1
8201,area_897,0
7128,area_1052,1
4913,area_380,0
4083,area_704,0
12005,area_850,1
14690,area_408,0
17172,area_899,1
15294,area_600,0
2174,area_808,0
6935,area_812,0
3826,area_1107,0
2894,area_934,0
2897,area_878,0
5049,area_846,0
855,area_1019,2
16825,area_466,0
10548,area_1107,0
5853,area_1031,0
8316,area_102,0
1047,area_373,0
8897,area_102,0
2135,area_867,2
