id,outage_type
17756,outage_type_1
14562,outage_type_1
8930,outage_type_1
11231,outage_type_1
17812,outage_type_2
3112,outage_type_2
6253,outage_type_2
187,outage_type_1
10816,outage_type_1
2008,outage_type_1
10445,outage_type_1
258,outage_type_1
15834,outage_type_2
12334,outage_type_1
9644,outage_type_1
14743,outage_type_1
6208,outage_type_1
6802,outage_type_2
14860,outage_type_1
14899,outage_type_1
581,outage_type_2
10985,outage_type_2
11010,outage_type_1
722,outage_type_1
1747,outage_type_1
1349,outage_type_2
11444,outage_type_1
16517,outage_type_1
16202,outage_type_1
12511,outage_type_1
15171,outage_type_1
3879,outage_type_1
1863,outage_type_1
5142,outage_type_1
6796,outage_type_1
13838,outage_type_1
10913,outage_type_1
6880,outage_type_1
685,outage_type_1
10680,outage_type_1
13845,outage_type_1
17736,outage_type_2
10319,outage_type_2
10970,outage_type_1
13652,outage_type_2
10161,outage_type_1
725,outage_type_1
5074,outage_type_2
5924,outage_type_1
10516,outage_type_1
6883,outage_type_1
5545,outage_type_1
14433,outage_type_1
18058,outage_type_2
5834,outage_type_1
4630,outage_type_2
17414,outage_type_2
6244,outage_type_1
3158,outage_type_2
16320,outage_type_2
3465,outage_type_2
13490,outage_type_2
4628,outage_type_2
4029,outage_type_2
15057,outage_type_2
13522,outage_type_2
5254,outage_type_1
14991,outage_type_1
2810,outage_type_2
5025,outage_type_2
14112,outage_type_2
5352,outage_type_1
7049,outage_type_1
17758,outage_type_2
11766,outage_type_1
1574,outage_type_1
7237,outage_type_1
10902,outage_type_1
9016,outage_type_2
13955,outage_type_1
11005,outage_type_1
16584,outage_type_1
8277,outage_type_2
15081,outage_type_1
18220,outage_type_1
4595,outage_type_2
1666,outage_type_2
7585,outage_type_2
4309,outage_type_2
16809,outage_type_2
2385,outage_type_1
16139,outage_type_1
7077,outage_type_2
11828,outage_type_1
2774,outage_type_2
11037,outage_type_2
11464,outage_type_1
15801,outage_type_1
12847,outage_type_2
4002,outage_type_1
11100,outage_type_2
10511,outage_type_2
14706,outage_type_1
462,outage_type_1
7885,outage_type_2
12276,outage_type_2
10402,outage_type_1
3412,outage_type_2
6860,outage_type_2
11114,outage_type_2
9907,outage_type_2
4121,outage_type_2
10493,outage_type_1
11770,outage_type_1
965,outage_type_1
18004,outage_type_2
5928,outage_type_1
7405,outage_type_1
6803,outage_type_2
8764,outage_type_2
7925,outage_type_1
12798,outage_type_2
11394,outage_type_2
17869,outage_type_2
10129,outage_type_2
13354,outage_type_2
16917,outage_type_2
17425,outage_type_1
18486,outage_type_1
6909,outage_type_2
12026,outage_type_2
16064,outage_type_2
11119,outage_type_2
8378,outage_type_1
894,outage_type_2
6648,outage_type_2
372,outage_type_1
17066,outage_type_2
821,outage_type_2
608,outage_type_2
4535,outage_type_2
4640,outage_type_2
18296,outage_type_2
6904,outage_type_2
5059,outage_type_2
15102,outage_type_2
11286,outage_type_2
13438,outage_type_1
7851,outage_type_2
16336,outage_type_2
17470,outage_type_2
8388,outage_type_2
4141,outage_type_2
4163,outage_type_2
13077,outage_type_2
15343,outage_type_2
6475,outage_type_1
12214,outage_type_2
6623,outage_type_2
1551,outage_type_2
13260,outage_type_2
12932,outage_type_2
4556,outage_type_2
8556,outage_type_2
14449,outage_type_2
18376,outage_type_2
17745,outage_type_2
17963,outage_type_2
10014,outage_type_2
9879,outage_type_2
1718,outage_type_2
13376,outage_type_1
17645,outage_type_2
2214,outage_type_2
12194,outage_type_2
12607,outage_type_2
378,outage_type_2
14616,outage_type_2
1326,outage_type_2
15085,outage_type_2
6339,outage_type_2
4151,outage_type_2
17950,outage_type_2
15427,outage_type_2
200,outage_type_2
18050,outage_type_2
3547,outage_type_2
15192,outage_type_2
13832,outage_type_2
2467,outage_type_2
6369,outage_type_2
12887,outage_type_1
8366,outage_type_2
2425,outage_type_1
8106,outage_type_1
12935,outage_type_2
4623,outage_type_2
222,outage_type_2
9059,outage_type_2
15381,outage_type_2
13154,outage_type_1
665,outage_type_2
10110,outage_type_2
1716,outage_type_2
3951,outage_type_2
17731,outage_type_2
16403,outage_type_2
8501,outage_type_2
15362,outage_type_2
9870,outage_type_2
8831,outage_type_2
5961,outage_type_2
9364,outage_type_2
18490,outage_type_2
9088,outage_type_1
2865,outage_type_1
16514,outage_type_5
18077,outage_type_1
14,outage_type_5
13453,outage_type_1
12828,outage_type_1
6359,outage_type_2
5881,outage_type_2
13337,outage_type_2
14986,outage_type_2
12978,outage_type_1
1553,outage_type_1
487,outage_type_1
5559,outage_type_1
8037,outage_type_1
5027,outage_type_1
15133,outage_type_1
5068,outage_type_1
11826,outage_type_1
7409,outage_type_1
13614,outage_type_1
11313,outage_type_1
8573,outage_type_1
15618,outage_type_1
8730,outage_type_1
2841,outage_type_1
8263,outage_type_2
8193,outage_type_1
5821,outage_type_1
14864,outage_type_1
7818,outage_type_1
6636,outage_type_1
3113,outage_type_2
15555,outage_type_2
15974,outage_type_1
13273,outage_type_2
10465,outage_type_1
1491,outage_type_1
7546,outage_type_1
8854,outage_type_1
14462,outage_type_1
2734,outage_type_1
6446,outage_type_1
11239,outage_type_1
6193,outage_type_2
3765,outage_type_2
12944,outage_type_2
4302,outage_type_2
16468,outage_type_2
12624,outage_type_2
17530,outage_type_1
7503,outage_type_1
6457,outage_type_1
16725,outage_type_1
5029,outage_type_1
16681,outage_type_1
11843,outage_type_1
6231,outage_type_1
15803,outage_type_1
13480,outage_type_1
11928,outage_type_1
8963,outage_type_1
10844,outage_type_1
13067,outage_type_1
9769,outage_type_1
15970,outage_type_1
6715,outage_type_1
5206,outage_type_5
16675,outage_type_1
5468,outage_type_1
2854,outage_type_5
8225,outage_type_1
15497,outage_type_2
10940,outage_type_1
8120,outage_type_2
15689,outage_type_1
5597,outage_type_1
4315,outage_type_2
11976,outage_type_1
268,outage_type_1
11609,outage_type_2
15967,outage_type_1
2184,outage_type_1
17071,outage_type_4
13185,outage_type_1
17329,outage_type_1
9509,outage_type_1
587,outage_type_1
14586,outage_type_1
3967,outage_type_1
4941,outage_type_2
16781,outage_type_1
15684,outage_type_1
525,outage_type_1
17856,outage_type_1
6932,outage_type_1
9787,outage_type_1
4740,outage_type_1
4053,outage_type_1
6376,outage_type_1
13330,outage_type_1
8036,outage_type_1
3895,outage_type_1
333,outage_type_1
16024,outage_type_1
10696,outage_type_1
17505,outage_type_1
4045,outage_type_1
18399,outage_type_1
11874,outage_type_1
17062,outage_type_1
8042,outage_type_1
11725,outage_type_1
750,outage_type_1
7315,outage_type_1
16339,outage_type_1
2212,outage_type_1
7545,outage_type_1
14767,outage_type_1
5282,outage_type_1
12389,outage_type_1
1380,outage_type_1
10409,outage_type_1
10658,outage_type_1
6144,outage_type_2
10370,outage_type_1
17852,outage_type_1
5032,outage_type_1
5370,outage_type_1
12273,outage_type_1
1998,outage_type_1
17379,outage_type_1
252,outage_type_1
14875,outage_type_1
6834,outage_type_1
9158,outage_type_1
8694,outage_type_1
7348,outage_type_1
12661,outage_type_1
7171,outage_type_1
4733,outage_type_1
1931,outage_type_1
14047,outage_type_2
611,outage_type_1
9354,outage_type_2
15287,outage_type_2
13403,outage_type_1
982,outage_type_4
8581,outage_type_4
7504,outage_type_1
17653,outage_type_1
2741,outage_type_1
10977,outage_type_1
8359,outage_type_1
7385,outage_type_1
8467,outage_type_1
11740,outage_type_1
9778,outage_type_1
15626,outage_type_1
3949,outage_type_1
3663,outage_type_4
17209,outage_type_1
400,outage_type_1
4861,outage_type_1
805,outage_type_1
11989,outage_type_1
748,outage_type_1
10508,outage_type_1
5977,outage_type_1
2090,outage_type_2
5257,outage_type_1
8159,outage_type_1
1135,outage_type_1
6679,outage_type_1
6313,outage_type_1
1231,outage_type_1
1706,outage_type_4
16741,outage_type_2
4629,outage_type_1
3491,outage_type_1
9852,outage_type_2
10293,outage_type_1
9596,outage_type_1
5300,outage_type_1
15871,outage_type_1
1566,outage_type_1
4254,outage_type_1
2652,outage_type_1
484,outage_type_1
1588,outage_type_1
10561,outage_type_1
7174,outage_type_2
12209,outage_type_2
17627,outage_type_1
3701,outage_type_1
15517,outage_type_1
16136,outage_type_1
9720,outage_type_1
5184,outage_type_1
11581,outage_type_1
6327,outage_type_1
16645,outage_type_1
1704,outage_type_1
4279,outage_type_1
12527,outage_type_1
47,outage_type_1
5617,outage_type_1
8530,outage_type_1
11653,outage_type_1
13920,outage_type_1
3191,outage_type_1
6439,outage_type_1
15350,outage_type_2
5512,outage_type_2
16346,outage_type_1
12308,outage_type_1
14668,outage_type_2
16441,outage_type_1
16562,outage_type_1
9919,outage_type_1
12731,outage_type_1
17525,outage_type_1
2829,outage_type_1
13065,outage_type_1
13888,outage_type_2
2067,outage_type_1
17949,outage_type_1
886,outage_type_1
18120,outage_type_2
17434,outage_type_1
4884,outage_type_1
7017,outage_type_2
18407,outage_type_2
17867,outage_type_1
17134,outage_type_2
14131,outage_type_1
6517,outage_type_1
10666,outage_type_1
14592,outage_type_1
8759,outage_type_2
7878,outage_type_1
13792,outage_type_2
17833,outage_type_1
14360,outage_type_2
4591,outage_type_2
16142,outage_type_1
628,outage_type_2
893,outage_type_1
11341,outage_type_2
6581,outage_type_2
13606,outage_type_2
10407,outage_type_2
17931,outage_type_2
6564,outage_type_2
9848,outage_type_2
9598,outage_type_1
12282,outage_type_1
15099,outage_type_2
11207,outage_type_1
6160,outage_type_2
12569,outage_type_1
10492,outage_type_2
1126,outage_type_1
3684,outage_type_1
11968,outage_type_1
9372,outage_type_1
1477,outage_type_2
14661,outage_type_1
14997,outage_type_2
2322,outage_type_1
7354,outage_type_1
11981,outage_type_2
7279,outage_type_1
386,outage_type_1
7835,outage_type_1
12590,outage_type_1
4092,outage_type_1
14100,outage_type_2
9722,outage_type_2
12495,outage_type_2
12227,outage_type_1
5693,outage_type_2
13688,outage_type_2
17825,outage_type_2
11878,outage_type_2
13552,outage_type_1
10520,outage_type_1
10137,outage_type_1
855,outage_type_1
17557,outage_type_2
3667,outage_type_2
11352,outage_type_1
13408,outage_type_2
5178,outage_type_2
7372,outage_type_1
5784,outage_type_1
4047,outage_type_2
11367,outage_type_2
17801,outage_type_2
460,outage_type_2
12790,outage_type_2
2999,outage_type_2
5476,outage_type_2
17540,outage_type_1
8880,outage_type_2
13391,outage_type_1
12112,outage_type_2
10676,outage_type_2
11133,outage_type_2
1508,outage_type_2
375,outage_type_1
12473,outage_type_2
3692,outage_type_2
14557,outage_type_1
17724,outage_type_1
8673,outage_type_2
18253,outage_type_2
595,outage_type_2
6565,outage_type_2
17749,outage_type_2
10783,outage_type_2
2216,outage_type_2
15716,outage_type_2
18116,outage_type_1
10572,outage_type_2
8234,outage_type_2
11189,outage_type_1
11895,outage_type_1
4658,outage_type_1
4674,outage_type_2
2991,outage_type_2
6747,outage_type_2
3052,outage_type_2
6990,outage_type_2
5439,outage_type_1
13612,outage_type_1
8173,outage_type_2
6902,outage_type_2
18176,outage_type_1
11790,outage_type_1
15693,outage_type_1
5320,outage_type_1
3877,outage_type_2
13361,outage_type_1
15072,outage_type_2
9280,outage_type_2
3789,outage_type_2
14664,outage_type_1
14647,outage_type_1
9980,outage_type_2
1382,outage_type_2
16456,outage_type_2
13078,outage_type_2
7360,outage_type_2
1493,outage_type_2
5731,outage_type_2
10329,outage_type_1
267,outage_type_2
14087,outage_type_2
13440,outage_type_1
11758,outage_type_2
14439,outage_type_1
8355,outage_type_2
11357,outage_type_2
17017,outage_type_2
5304,outage_type_2
10803,outage_type_2
17568,outage_type_2
4620,outage_type_2
12275,outage_type_2
7146,outage_type_2
11896,outage_type_2
10403,outage_type_2
45,outage_type_2
9928,outage_type_2
2091,outage_type_2
12939,outage_type_2
16012,outage_type_1
1368,outage_type_2
10790,outage_type_1
9911,outage_type_2
14907,outage_type_2
6638,outage_type_2
10857,outage_type_2
4470,outage_type_1
15434,outage_type_1
7667,outage_type_2
3327,outage_type_2
12278,outage_type_2
6267,outage_type_2
17581,outage_type_2
8269,outage_type_2
7055,outage_type_2
14032,outage_type_2
13543,outage_type_2
13341,outage_type_2
17440,outage_type_2
6379,outage_type_2
7864,outage_type_2
10047,outage_type_1
6837,outage_type_2
8007,outage_type_2
6931,outage_type_2
5846,outage_type_2
11038,outage_type_2
10687,outage_type_2
7866,outage_type_2
3881,outage_type_2
12143,outage_type_2
3066,outage_type_2
6689,outage_type_2
6387,outage_type_2
11651,outage_type_2
3864,outage_type_2
9441,outage_type_2
15640,outage_type_2
13801,outage_type_2
12836,outage_type_2
10058,outage_type_2
14839,outage_type_2
1810,outage_type_2
15538,outage_type_2
4217,outage_type_2
6838,outage_type_2
8619,outage_type_2
5714,outage_type_2
7137,outage_type_2
10001,outage_type_2
5785,outage_type_2
2162,outage_type_2
17358,outage_type_2
13837,outage_type_2
17034,outage_type_2
1933,outage_type_2
12182,outage_type_2
18421,outage_type_2
12104,outage_type_2
3431,outage_type_2
2437,outage_type_2
17751,outage_type_2
3429,outage_type_1
11150,outage_type_2
7952,outage_type_1
10593,outage_type_2
516,outage_type_2
17647,outage_type_2
10956,outage_type_2
2550,outage_type_2
14153,outage_type_4
5081,outage_type_2
12379,outage_type_4
1663,outage_type_1
10627,outage_type_2
2656,outage_type_2
4317,outage_type_4
15568,outage_type_4
16021,outage_type_2
15156,outage_type_2
2763,outage_type_2
10136,outage_type_2
6212,outage_type_1
12478,outage_type_2
9898,outage_type_2
9406,outage_type_2
16763,outage_type_4
8466,outage_type_2
9727,outage_type_2
6427,outage_type_4
636,outage_type_2
17830,outage_type_2
5783,outage_type_2
11301,outage_type_4
1059,outage_type_2
8316,outage_type_2
13219,outage_type_2
8750,outage_type_2
15676,outage_type_2
17019,outage_type_2
13987,outage_type_2
8062,outage_type_2
4285,outage_type_2
7944,outage_type_2
10567,outage_type_2
3336,outage_type_2
5526,outage_type_2
3279,outage_type_4
4608,outage_type_4
4184,outage_type_2
11294,outage_type_4
3201,outage_type_4
14132,outage_type_4
14345,outage_type_2
8897,outage_type_2
15400,outage_type_2
15657,outage_type_2
4103,outage_type_2
13733,outage_type_2
13346,outage_type_2
2992,outage_type_2
3064,outage_type_1
12216,outage_type_2
8804,outage_type_1
13299,outage_type_1
7297,outage_type_1
7313,outage_type_1
13382,outage_type_1
16525,outage_type_1
2847,outage_type_1
18408,outage_type_1
3306,outage_type_1
8247,outage_type_1
1621,outage_type_1
14811,outage_type_1
3916,outage_type_1
10610,outage_type_1
4741,outage_type_1
13137,outage_type_1
18388,outage_type_1
15584,outage_type_1
15183,outage_type_1
13282,outage_type_1
14297,outage_type_1
14605,outage_type_1
9891,outage_type_1
1992,outage_type_1
11345,outage_type_1
11281,outage_type_1
9421,outage_type_1
4148,outage_type_1
1924,outage_type_1
4922,outage_type_1
13823,outage_type_1
11808,outage_type_1
4418,outage_type_1
5561,outage_type_1
10477,outage_type_1
11173,outage_type_1
1413,outage_type_1
15021,outage_type_1
14464,outage_type_1
5322,outage_type_1
18131,outage_type_1
4161,outage_type_1
12690,outage_type_5
13079,outage_type_1
2185,outage_type_1
2048,outage_type_5
11776,outage_type_2
777,outage_type_1
5427,outage_type_2
1803,outage_type_2
753,outage_type_1
9501,outage_type_1
9127,outage_type_1
9476,outage_type_1
14445,outage_type_1
1786,outage_type_2
18249,outage_type_1
12988,outage_type_1
482,outage_type_1
9789,outage_type_1
3420,outage_type_1
4544,outage_type_1
9529,outage_type_2
13473,outage_type_2
12633,outage_type_2
9781,outage_type_1
9782,outage_type_1
1918,outage_type_1
16548,outage_type_2
4557,outage_type_2
4290,outage_type_1
11061,outage_type_1
16193,outage_type_1
14460,outage_type_1
12561,outage_type_2
2869,outage_type_2
8122,outage_type_1
4084,outage_type_1
15811,outage_type_2
1637,outage_type_2
350,outage_type_1
15736,outage_type_1
14261,outage_type_1
16593,outage_type_1
17605,outage_type_1
14326,outage_type_1
14679,outage_type_2
14140,outage_type_1
12233,outage_type_1
12084,outage_type_1
17502,outage_type_1
14463,outage_type_1
812,outage_type_1
12487,outage_type_1
16240,outage_type_1
1598,outage_type_1
17515,outage_type_1
6823,outage_type_2
16724,outage_type_1
12811,outage_type_1
9853,outage_type_1
479,outage_type_1
34,outage_type_1
17416,outage_type_1
17853,outage_type_1
11459,outage_type_1
11887,outage_type_1
16818,outage_type_1
5510,outage_type_1
17033,outage_type_1
7978,outage_type_1
7853,outage_type_1
17533,outage_type_1
3043,outage_type_1
1677,outage_type_1
810,outage_type_4
14310,outage_type_4
3308,outage_type_1
7076,outage_type_1
3640,outage_type_1
15800,outage_type_2
11130,outage_type_1
11687,outage_type_1
15539,outage_type_2
2580,outage_type_4
8392,outage_type_1
8616,outage_type_1
2407,outage_type_1
17448,outage_type_1
4249,outage_type_1
1294,outage_type_1
6818,outage_type_1
5681,outage_type_2
10981,outage_type_1
11271,outage_type_1
3594,outage_type_2
3242,outage_type_2
17567,outage_type_2
5736,outage_type_2
13353,outage_type_1
11198,outage_type_1
16865,outage_type_1
8840,outage_type_2
13974,outage_type_1
4339,outage_type_1
14540,outage_type_1
183,outage_type_1
13862,outage_type_2
2590,outage_type_1
12015,outage_type_1
16141,outage_type_1
8599,outage_type_1
5484,outage_type_1
9610,outage_type_1
11215,outage_type_1
9944,outage_type_1
3861,outage_type_1
7452,outage_type_1
11994,outage_type_1
4651,outage_type_2
861,outage_type_1
6321,outage_type_1
5379,outage_type_1
3693,outage_type_1
5190,outage_type_1
5340,outage_type_1
8566,outage_type_1
4146,outage_type_1
11291,outage_type_1
3842,outage_type_1
2353,outage_type_1
10530,outage_type_2
14233,outage_type_1
4747,outage_type_1
5043,outage_type_1
16588,outage_type_1
3156,outage_type_1
14994,outage_type_2
6749,outage_type_1
4300,outage_type_1
7624,outage_type_2
3974,outage_type_2
1351,outage_type_2
9485,outage_type_2
13841,outage_type_2
17730,outage_type_2
3451,outage_type_2
1789,outage_type_2
12373,outage_type_1
9276,outage_type_1
6418,outage_type_1
15844,outage_type_1
14903,outage_type_1
6218,outage_type_2
8662,outage_type_1
2842,outage_type_1
16558,outage_type_1
2499,outage_type_1
5839,outage_type_1
1601,outage_type_1
6416,outage_type_1
5272,outage_type_1
11395,outage_type_2
6644,outage_type_1
13239,outage_type_2
7912,outage_type_1
883,outage_type_2
4460,outage_type_2
8134,outage_type_1
3726,outage_type_4
9647,outage_type_4
1481,outage_type_1
12651,outage_type_1
14467,outage_type_2
13883,outage_type_1
11694,outage_type_1
6450,outage_type_1
9885,outage_type_1
16982,outage_type_1
816,outage_type_1
18544,outage_type_1
7476,outage_type_1
16998,outage_type_1
3234,outage_type_1
550,outage_type_1
7951,outage_type_1
12236,outage_type_1
3824,outage_type_1
7319,outage_type_1
242,outage_type_1
14552,outage_type_1
4618,outage_type_1
17659,outage_type_1
1053,outage_type_1
12082,outage_type_1
12284,outage_type_1
12886,outage_type_1
3164,outage_type_1
7645,outage_type_1
13432,outage_type_1
16455,outage_type_1
6300,outage_type_1
12668,outage_type_1
5853,outage_type_4
13531,outage_type_2
11531,outage_type_1
15962,outage_type_1
11194,outage_type_1
13461,outage_type_1
2223,outage_type_1
18197,outage_type_1
4532,outage_type_4
2280,outage_type_1
10377,outage_type_1
14909,outage_type_1
10988,outage_type_1
8765,outage_type_1
10535,outage_type_1
17650,outage_type_1
14443,outage_type_1
7420,outage_type_1
2505,outage_type_1
8567,outage_type_1
3130,outage_type_1
7148,outage_type_1
1225,outage_type_1
8116,outage_type_1
15425,outage_type_1
8950,outage_type_1
13229,outage_type_1
5227,outage_type_1
3225,outage_type_1
16461,outage_type_1
10380,outage_type_1
10615,outage_type_1
1946,outage_type_1
12408,outage_type_1
8875,outage_type_1
10924,outage_type_2
14166,outage_type_2
11915,outage_type_1
5553,outage_type_2
7234,outage_type_1
9260,outage_type_1
4738,outage_type_1
9379,outage_type_1
256,outage_type_4
15359,outage_type_1
7404,outage_type_2
10286,outage_type_1
16899,outage_type_1
3672,outage_type_1
9443,outage_type_2
16520,outage_type_1
18494,outage_type_1
9363,outage_type_1
5451,outage_type_1
2540,outage_type_1
11545,outage_type_1
4678,outage_type_1
11899,outage_type_1
10518,outage_type_1
11425,outage_type_1
2274,outage_type_1
12111,outage_type_1
8361,outage_type_1
7124,outage_type_2
9762,outage_type_2
6467,outage_type_4
8132,outage_type_2
6033,outage_type_2
17643,outage_type_1
13469,outage_type_1
8117,outage_type_1
17299,outage_type_4
11377,outage_type_1
2655,outage_type_4
14490,outage_type_1
11330,outage_type_2
1974,outage_type_2
2793,outage_type_1
4758,outage_type_1
6609,outage_type_1
17706,outage_type_1
1319,outage_type_1
5464,outage_type_1
14197,outage_type_1
13632,outage_type_1
9981,outage_type_1
3755,outage_type_1
8990,outage_type_1
160,outage_type_1
15823,outage_type_2
8240,outage_type_2
13506,outage_type_1
6462,outage_type_1
2219,outage_type_1
13081,outage_type_1
7423,outage_type_1
7766,outage_type_1
3988,outage_type_1
2017,outage_type_1
14425,outage_type_1
1298,outage_type_1
17829,outage_type_2
948,outage_type_1
2576,outage_type_1
4791,outage_type_1
11063,outage_type_2
13470,outage_type_1
12437,outage_type_1
8903,outage_type_1
12804,outage_type_1
8910,outage_type_2
12399,outage_type_2
2397,outage_type_2
7057,outage_type_2
17474,outage_type_1
14781,outage_type_4
11712,outage_type_2
10512,outage_type_1
5105,outage_type_1
17671,outage_type_1
3330,outage_type_2
11914,outage_type_2
15304,outage_type_2
132,outage_type_2
17156,outage_type_2
6814,outage_type_2
8577,outage_type_2
3733,outage_type_1
8680,outage_type_2
9962,outage_type_2
12361,outage_type_2
3942,outage_type_1
11236,outage_type_1
12958,outage_type_1
11539,outage_type_1
1173,outage_type_2
5325,outage_type_1
17974,outage_type_1
14534,outage_type_1
18496,outage_type_2
7568,outage_type_1
5771,outage_type_1
2654,outage_type_1
9008,outage_type_2
6666,outage_type_1
10770,outage_type_2
6744,outage_type_2
10073,outage_type_2
7203,outage_type_1
13574,outage_type_1
2706,outage_type_1
9028,outage_type_2
9378,outage_type_1
2787,outage_type_2
16787,outage_type_2
5011,outage_type_1
9579,outage_type_1
1255,outage_type_2
17727,outage_type_2
4729,outage_type_2
5247,outage_type_2
12987,outage_type_2
16192,outage_type_2
17573,outage_type_1
15788,outage_type_2
5722,outage_type_2
9078,outage_type_2
12592,outage_type_1
708,outage_type_2
9603,outage_type_2
9860,outage_type_2
16480,outage_type_2
18088,outage_type_2
15001,outage_type_2
16425,outage_type_2
13320,outage_type_1
2100,outage_type_1
11320,outage_type_2
477,outage_type_2
15076,outage_type_2
7910,outage_type_2
13578,outage_type_2
11316,outage_type_2
1245,outage_type_1
6028,outage_type_2
18323,outage_type_2
18005,outage_type_2
17342,outage_type_2
7269,outage_type_2
17874,outage_type_2
12872,outage_type_2
5589,outage_type_2
18528,outage_type_2
9910,outage_type_2
13005,outage_type_2
1110,outage_type_2
12442,outage_type_2
9611,outage_type_2
11875,outage_type_2
14868,outage_type_2
12353,outage_type_2
4526,outage_type_2
10721,outage_type_2
8079,outage_type_2
5030,outage_type_2
9900,outage_type_2
291,outage_type_1
15017,outage_type_2
582,outage_type_2
15314,outage_type_2
9277,outage_type_2
9821,outage_type_2
9922,outage_type_2
12075,outage_type_2
14408,outage_type_2
6472,outage_type_2
1344,outage_type_2
6103,outage_type_2
11404,outage_type_2
12535,outage_type_2
673,outage_type_2
17948,outage_type_2
8444,outage_type_2
14255,outage_type_2
12537,outage_type_2
8404,outage_type_2
11162,outage_type_5
18081,outage_type_1
11158,outage_type_2
4032,outage_type_1
4776,outage_type_1
3454,outage_type_1
9309,outage_type_1
5880,outage_type_1
8252,outage_type_2
11708,outage_type_1
6129,outage_type_1
17135,outage_type_2
39,outage_type_1
13805,outage_type_1
11781,outage_type_1
5954,outage_type_2
13093,outage_type_1
11195,outage_type_1
6188,outage_type_1
1257,outage_type_1
10829,outage_type_1
14770,outage_type_1
15162,outage_type_1
13291,outage_type_1
10363,outage_type_1
6994,outage_type_2
13301,outage_type_1
414,outage_type_1
4011,outage_type_2
9520,outage_type_2
14578,outage_type_1
17489,outage_type_2
3313,outage_type_1
5726,outage_type_1
6166,outage_type_1
42,outage_type_1
4323,outage_type_1
16335,outage_type_1
6948,outage_type_1
9620,outage_type_1
9250,outage_type_1
526,outage_type_1
18540,outage_type_2
6072,outage_type_2
3794,outage_type_1
11153,outage_type_2
15040,outage_type_1
5705,outage_type_1
15740,outage_type_1
17193,outage_type_1
6572,outage_type_2
4490,outage_type_1
4312,outage_type_1
13931,outage_type_1
10718,outage_type_2
1363,outage_type_1
6617,outage_type_1
18200,outage_type_1
15465,outage_type_1
11911,outage_type_1
1277,outage_type_1
4215,outage_type_1
2809,outage_type_1
3707,outage_type_2
6064,outage_type_1
10038,outage_type_1
1456,outage_type_1
3775,outage_type_1
14953,outage_type_1
15445,outage_type_1
8251,outage_type_1
10506,outage_type_1
7861,outage_type_1
5460,outage_type_1
15522,outage_type_1
16499,outage_type_1
11912,outage_type_2
2645,outage_type_1
13401,outage_type_1
13864,outage_type_2
15435,outage_type_1
3002,outage_type_2
17544,outage_type_1
17674,outage_type_2
5162,outage_type_2
11204,outage_type_2
15509,outage_type_1
12789,outage_type_1
14944,outage_type_1
2863,outage_type_1
16611,outage_type_1
3614,outage_type_1
5477,outage_type_1
