id,broadband_type
6803,broadband_type_8
8764,broadband_type_8
7925,broadband_type_8
12798,broadband_type_8
11394,broadband_type_8
17869,broadband_type_8
10129,broadband_type_8
13354,broadband_type_8
16917,broadband_type_8
17425,broadband_type_8
18486,broadband_type_8
6909,broadband_type_8
12026,broadband_type_8
16064,broadband_type_8
11119,broadband_type_8
8378,broadband_type_8
894,broadband_type_8
6648,broadband_type_8
372,broadband_type_8
17066,broadband_type_8
821,broadband_type_8
608,broadband_type_8
4535,broadband_type_8
4640,broadband_type_8
18296,broadband_type_8
6904,broadband_type_8
5059,broadband_type_8
15102,broadband_type_8
11286,broadband_type_8
13438,broadband_type_8
7851,broadband_type_8
16336,broadband_type_8
17470,broadband_type_8
8388,broadband_type_8
4141,broadband_type_8
4163,broadband_type_8
13077,broadband_type_8
15343,broadband_type_8
6475,broadband_type_8
12214,broadband_type_8
6623,broadband_type_8
1551,broadband_type_8
13260,broadband_type_8
12932,broadband_type_8
4556,broadband_type_8
8556,broadband_type_8
14449,broadband_type_8
18376,broadband_type_8
17745,broadband_type_8
17963,broadband_type_8
10014,broadband_type_8
9879,broadband_type_8
1718,broadband_type_8
13376,broadband_type_8
17645,broadband_type_8
2214,broadband_type_8
12194,broadband_type_8
12607,broadband_type_8
378,broadband_type_8
14616,broadband_type_8
1326,broadband_type_8
15085,broadband_type_8
6339,broadband_type_8
4151,broadband_type_8
17950,broadband_type_8
15427,broadband_type_8
200,broadband_type_8
18050,broadband_type_8
3547,broadband_type_8
15192,broadband_type_8
13832,broadband_type_8
2467,broadband_type_8
6369,broadband_type_8
12887,broadband_type_8
8366,broadband_type_8
2425,broadband_type_8
8106,broadband_type_8
12935,broadband_type_8
4623,broadband_type_8
222,broadband_type_8
9059,broadband_type_8
15381,broadband_type_8
13154,broadband_type_8
665,broadband_type_8
10110,broadband_type_8
1716,broadband_type_8
3951,broadband_type_8
17731,broadband_type_8
16403,broadband_type_8
8501,broadband_type_8
15362,broadband_type_8
9870,broadband_type_8
8831,broadband_type_8
5961,broadband_type_8
9364,broadband_type_8
18490,broadband_type_8
9088,broadband_type_8
2865,broadband_type_8
16514,broadband_type_9
18077,broadband_type_9
14,broadband_type_9
13453,broadband_type_8
12828,broadband_type_8
6359,broadband_type_2
5881,broadband_type_2
13337,broadband_type_2
14986,broadband_type_8
12978,broadband_type_8
1553,broadband_type_8
487,broadband_type_8
5559,broadband_type_8
8037,broadband_type_8
5027,broadband_type_8
15133,broadband_type_8
5068,broadband_type_8
11826,broadband_type_8
7409,broadband_type_8
13614,broadband_type_8
11313,broadband_type_8
8573,broadband_type_8
15618,broadband_type_8
8730,broadband_type_2
2841,broadband_type_8
8263,broadband_type_8
8193,broadband_type_8
5821,broadband_type_8
14864,broadband_type_2
14864,broadband_type_8
7818,broadband_type_8
6636,broadband_type_8
3113,broadband_type_8
15555,broadband_type_8
15974,broadband_type_8
13273,broadband_type_8
10465,broadband_type_8
1491,broadband_type_8
7546,broadband_type_8
8854,broadband_type_8
14462,broadband_type_8
2734,broadband_type_8
6446,broadband_type_8
11239,broadband_type_8
6193,broadband_type_8
3765,broadband_type_8
12944,broadband_type_8
4302,broadband_type_8
16468,broadband_type_8
12624,broadband_type_8
17530,broadband_type_8
7503,broadband_type_8
6457,broadband_type_8
16725,broadband_type_8
5029,broadband_type_2
16681,broadband_type_8
11843,broadband_type_9
11843,broadband_type_8
11843,broadband_type_2
6231,broadband_type_8
15803,broadband_type_9
15803,broadband_type_8
13480,broadband_type_8
11928,broadband_type_8
8963,broadband_type_8
10844,broadband_type_8
13067,broadband_type_8
9769,broadband_type_8
15970,broadband_type_8
6715,broadband_type_8
5206,broadband_type_9
16675,broadband_type_8
5468,broadband_type_9
2854,broadband_type_9
8225,broadband_type_8
15497,broadband_type_8
10940,broadband_type_2
8120,broadband_type_8
15689,broadband_type_1
15689,broadband_type_8
5597,broadband_type_8
4315,broadband_type_8
11976,broadband_type_2
11976,broadband_type_8
268,broadband_type_8
11609,broadband_type_8
15967,broadband_type_6
15967,broadband_type_8
2184,broadband_type_6
2184,broadband_type_8
2184,broadband_type_7
17071,broadband_type_7
13185,broadband_type_8
13185,broadband_type_10
17329,broadband_type_8
17329,broadband_type_10
9509,broadband_type_8
9509,broadband_type_6
587,broadband_type_6
587,broadband_type_8
14586,broadband_type_6
14586,broadband_type_8
3967,broadband_type_6
3967,broadband_type_8
4941,broadband_type_4
4941,broadband_type_8
16781,broadband_type_6
16781,broadband_type_8
15684,broadband_type_2
525,broadband_type_8
525,broadband_type_6
17856,broadband_type_8
17856,broadband_type_6
6932,broadband_type_8
6932,broadband_type_6
9787,broadband_type_8
9787,broadband_type_4
9787,broadband_type_6
4740,broadband_type_6
4053,broadband_type_8
6376,broadband_type_6
6376,broadband_type_8
13330,broadband_type_8
13330,broadband_type_6
8036,broadband_type_6
3895,broadband_type_8
333,broadband_type_8
333,broadband_type_6
16024,broadband_type_4
16024,broadband_type_8
10696,broadband_type_4
10696,broadband_type_8
17505,broadband_type_8
17505,broadband_type_6
4045,broadband_type_6
4045,broadband_type_8
18399,broadband_type_8
18399,broadband_type_6
11874,broadband_type_6
11874,broadband_type_8
17062,broadband_type_6
17062,broadband_type_8
8042,broadband_type_8
11725,broadband_type_8
750,broadband_type_8
7315,broadband_type_8
16339,broadband_type_8
2212,broadband_type_8
7545,broadband_type_8
14767,broadband_type_8
5282,broadband_type_8
12389,broadband_type_8
1380,broadband_type_8
10409,broadband_type_2
10658,broadband_type_8
6144,broadband_type_8
10370,broadband_type_8
17852,broadband_type_8
5032,broadband_type_8
5370,broadband_type_8
12273,broadband_type_8
1998,broadband_type_8
17379,broadband_type_8
252,broadband_type_8
14875,broadband_type_8
6834,broadband_type_8
9158,broadband_type_8
8694,broadband_type_8
7348,broadband_type_8
12661,broadband_type_8
7171,broadband_type_8
4733,broadband_type_8
1931,broadband_type_8
14047,broadband_type_8
611,broadband_type_8
9354,broadband_type_8
15287,broadband_type_8
13403,broadband_type_8
982,broadband_type_8
8581,broadband_type_8
7504,broadband_type_8
17653,broadband_type_8
2741,broadband_type_8
10977,broadband_type_2
8359,broadband_type_8
7385,broadband_type_8
8467,broadband_type_8
11740,broadband_type_8
9778,broadband_type_8
15626,broadband_type_8
3949,broadband_type_8
3663,broadband_type_8
17209,broadband_type_8
400,broadband_type_8
4861,broadband_type_8
805,broadband_type_8
11989,broadband_type_8
748,broadband_type_8
10508,broadband_type_8
5977,broadband_type_8
2090,broadband_type_8
5257,broadband_type_8
8159,broadband_type_8
1135,broadband_type_8
6679,broadband_type_8
6313,broadband_type_8
1231,broadband_type_8
1706,broadband_type_8
16741,broadband_type_8
4629,broadband_type_8
3491,broadband_type_8
9852,broadband_type_8
10293,broadband_type_8
9596,broadband_type_8
5300,broadband_type_8
15871,broadband_type_8
1566,broadband_type_8
4254,broadband_type_8
2652,broadband_type_8
484,broadband_type_8
1588,broadband_type_8
10561,broadband_type_8
7174,broadband_type_8
12209,broadband_type_8
17627,broadband_type_8
3701,broadband_type_2
15517,broadband_type_8
16136,broadband_type_8
9720,broadband_type_8
5184,broadband_type_8
11581,broadband_type_8
6327,broadband_type_8
16645,broadband_type_8
1704,broadband_type_8
4279,broadband_type_8
12527,broadband_type_8
47,broadband_type_8
5617,broadband_type_8
8530,broadband_type_8
11653,broadband_type_8
13920,broadband_type_8
3191,broadband_type_8
6439,broadband_type_8
15350,broadband_type_8
5512,broadband_type_8
16346,broadband_type_8
12308,broadband_type_8
14668,broadband_type_8
16441,broadband_type_8
16562,broadband_type_8
9919,broadband_type_8
12731,broadband_type_8
17525,broadband_type_8
2829,broadband_type_8
13065,broadband_type_8
13888,broadband_type_8
2067,broadband_type_8
17949,broadband_type_8
886,broadband_type_8
18120,broadband_type_8
17434,broadband_type_8
4884,broadband_type_8
7017,broadband_type_8
18407,broadband_type_8
17867,broadband_type_8
17134,broadband_type_8
14131,broadband_type_8
6517,broadband_type_8
10666,broadband_type_8
14592,broadband_type_8
8759,broadband_type_8
7878,broadband_type_8
13792,broadband_type_2
13792,broadband_type_8
17833,broadband_type_8
14360,broadband_type_8
4591,broadband_type_8
16142,broadband_type_8
628,broadband_type_8
893,broadband_type_8
11341,broadband_type_8
6581,broadband_type_8
13606,broadband_type_8
10407,broadband_type_8
17931,broadband_type_8
6564,broadband_type_8
9848,broadband_type_8
9598,broadband_type_8
12282,broadband_type_8
15099,broadband_type_8
11207,broadband_type_8
6160,broadband_type_8
12569,broadband_type_8
10492,broadband_type_8
1126,broadband_type_8
3684,broadband_type_8
11968,broadband_type_8
9372,broadband_type_8
1477,broadband_type_8
14661,broadband_type_8
14997,broadband_type_8
2322,broadband_type_8
7354,broadband_type_8
11981,broadband_type_8
7279,broadband_type_8
386,broadband_type_8
7835,broadband_type_8
12590,broadband_type_8
4092,broadband_type_8
14100,broadband_type_8
9722,broadband_type_8
12495,broadband_type_8
12227,broadband_type_8
5693,broadband_type_8
13688,broadband_type_8
17825,broadband_type_8
11878,broadband_type_8
13552,broadband_type_8
10520,broadband_type_8
10137,broadband_type_8
855,broadband_type_8
17557,broadband_type_8
3667,broadband_type_8
11352,broadband_type_2
11352,broadband_type_8
13408,broadband_type_8
5178,broadband_type_8
7372,broadband_type_8
7372,broadband_type_1
5784,broadband_type_1
5784,broadband_type_8
4047,broadband_type_8
11367,broadband_type_8
17801,broadband_type_8
460,broadband_type_8
12790,broadband_type_8
2999,broadband_type_8
5476,broadband_type_8
17540,broadband_type_8
8880,broadband_type_8
13391,broadband_type_8
12112,broadband_type_8
10676,broadband_type_8
11133,broadband_type_8
1508,broadband_type_8
375,broadband_type_8
12473,broadband_type_8
3692,broadband_type_8
14557,broadband_type_8
17724,broadband_type_8
8673,broadband_type_8
18253,broadband_type_8
595,broadband_type_8
6565,broadband_type_8
17749,broadband_type_8
10783,broadband_type_8
2216,broadband_type_8
15716,broadband_type_8
18116,broadband_type_8
10572,broadband_type_8
8234,broadband_type_8
11189,broadband_type_8
11895,broadband_type_8
4658,broadband_type_8
4674,broadband_type_8
2991,broadband_type_8
6747,broadband_type_8
3052,broadband_type_8
6990,broadband_type_8
5439,broadband_type_8
13612,broadband_type_8
8173,broadband_type_8
6902,broadband_type_8
18176,broadband_type_8
11790,broadband_type_8
15693,broadband_type_8
5320,broadband_type_8
3877,broadband_type_8
13361,broadband_type_8
15072,broadband_type_8
9280,broadband_type_8
3789,broadband_type_8
14664,broadband_type_8
14647,broadband_type_8
9980,broadband_type_8
1382,broadband_type_8
16456,broadband_type_8
13078,broadband_type_8
7360,broadband_type_8
1493,broadband_type_8
5731,broadband_type_8
10329,broadband_type_8
267,broadband_type_8
14087,broadband_type_8
13440,broadband_type_8
11758,broadband_type_8
14439,broadband_type_8
8355,broadband_type_8
11357,broadband_type_8
17017,broadband_type_8
5304,broadband_type_8
10803,broadband_type_8
17568,broadband_type_8
4620,broadband_type_8
12275,broadband_type_8
7146,broadband_type_8
11896,broadband_type_8
10403,broadband_type_8
45,broadband_type_8
9928,broadband_type_8
2091,broadband_type_8
12939,broadband_type_8
16012,broadband_type_8
1368,broadband_type_8
10790,broadband_type_8
9911,broadband_type_8
14907,broadband_type_8
6638,broadband_type_8
10857,broadband_type_8
4470,broadband_type_8
15434,broadband_type_8
7667,broadband_type_8
3327,broadband_type_8
12278,broadband_type_8
6267,broadband_type_8
17581,broadband_type_8
8269,broadband_type_8
7055,broadband_type_2
14032,broadband_type_2
13543,broadband_type_2
13341,broadband_type_2
17440,broadband_type_2
6379,broadband_type_2
7864,broadband_type_2
10047,broadband_type_2
6837,broadband_type_2
8007,broadband_type_2
6931,broadband_type_2
5846,broadband_type_2
11038,broadband_type_2
10687,broadband_type_2
7866,broadband_type_2
3881,broadband_type_2
12143,broadband_type_2
3066,broadband_type_2
6689,broadband_type_2
6387,broadband_type_2
11651,broadband_type_2
3864,broadband_type_2
9441,broadband_type_2
15640,broadband_type_2
13801,broadband_type_2
12836,broadband_type_2
10058,broadband_type_2
14839,broadband_type_2
1810,broadband_type_2
15538,broadband_type_2
4217,broadband_type_2
6838,broadband_type_2
8619,broadband_type_2
5714,broadband_type_2
7137,broadband_type_2
10001,broadband_type_2
5785,broadband_type_2
2162,broadband_type_2
17358,broadband_type_2
13837,broadband_type_2
17034,broadband_type_2
1933,broadband_type_2
12182,broadband_type_2
18421,broadband_type_2
12104,broadband_type_2
3431,broadband_type_2
2437,broadband_type_2
17751,broadband_type_2
3429,broadband_type_2
11150,broadband_type_2
7952,broadband_type_2
10593,broadband_type_2
516,broadband_type_2
17647,broadband_type_2
10956,broadband_type_2
2550,broadband_type_2
14153,broadband_type_2
5081,broadband_type_2
12379,broadband_type_2
1663,broadband_type_2
10627,broadband_type_2
2656,broadband_type_2
4317,broadband_type_2
15568,broadband_type_2
16021,broadband_type_2
15156,broadband_type_2
2763,broadband_type_2
10136,broadband_type_2
6212,broadband_type_2
12478,broadband_type_2
9898,broadband_type_2
9406,broadband_type_2
16763,broadband_type_2
8466,broadband_type_2
9727,broadband_type_2
6427,broadband_type_2
636,broadband_type_2
17830,broadband_type_2
5783,broadband_type_2
11301,broadband_type_2
1059,broadband_type_2
8316,broadband_type_2
13219,broadband_type_2
8750,broadband_type_2
15676,broadband_type_2
17019,broadband_type_2
13987,broadband_type_2
8062,broadband_type_2
4285,broadband_type_2
7944,broadband_type_2
10567,broadband_type_2
3336,broadband_type_2
5526,broadband_type_2
3279,broadband_type_2
4608,broadband_type_2
4184,broadband_type_2
11294,broadband_type_2
3201,broadband_type_2
14132,broadband_type_2
14345,broadband_type_2
8897,broadband_type_2
15400,broadband_type_2
15657,broadband_type_2
4103,broadband_type_2
13733,broadband_type_2
13346,broadband_type_2
2992,broadband_type_2
3064,broadband_type_2
12216,broadband_type_2
8804,broadband_type_8
13299,broadband_type_2
7297,broadband_type_8
7313,broadband_type_8
13382,broadband_type_8
13382,broadband_type_9
16525,broadband_type_8
2847,broadband_type_8
18408,broadband_type_8
3306,broadband_type_8
3306,broadband_type_9
8247,broadband_type_8
1621,broadband_type_8
14811,broadband_type_8
3916,broadband_type_8
10610,broadband_type_8
4741,broadband_type_9
13137,broadband_type_8
18388,broadband_type_8
15584,broadband_type_8
15183,broadband_type_8
13282,broadband_type_2
14297,broadband_type_8
14605,broadband_type_8
9891,broadband_type_8
1992,broadband_type_8
11345,broadband_type_8
11281,broadband_type_8
9421,broadband_type_8
4148,broadband_type_8
1924,broadband_type_8
4922,broadband_type_8
13823,broadband_type_8
11808,broadband_type_8
4418,broadband_type_8
5561,broadband_type_8
10477,broadband_type_8
11173,broadband_type_8
1413,broadband_type_2
15021,broadband_type_8
14464,broadband_type_8
5322,broadband_type_8
18131,broadband_type_8
4161,broadband_type_9
12690,broadband_type_9
13079,broadband_type_9
2185,broadband_type_8
2185,broadband_type_9
2048,broadband_type_9
11776,broadband_type_8
11776,broadband_type_1
777,broadband_type_9
777,broadband_type_8
5427,broadband_type_8
1803,broadband_type_8
753,broadband_type_8
9501,broadband_type_8
9127,broadband_type_8
9476,broadband_type_8
14445,broadband_type_8
1786,broadband_type_8
18249,broadband_type_8
12988,broadband_type_8
482,broadband_type_2
9789,broadband_type_8
3420,broadband_type_2
4544,broadband_type_8
9529,broadband_type_8
13473,broadband_type_8
12633,broadband_type_8
9781,broadband_type_8
9782,broadband_type_8
1918,broadband_type_8
16548,broadband_type_8
4557,broadband_type_8
4290,broadband_type_8
11061,broadband_type_8
16193,broadband_type_8
14460,broadband_type_8
12561,broadband_type_8
2869,broadband_type_8
8122,broadband_type_8
4084,broadband_type_8
15811,broadband_type_8
1637,broadband_type_8
350,broadband_type_8
15736,broadband_type_8
14261,broadband_type_8
16593,broadband_type_8
17605,broadband_type_8
14326,broadband_type_8
14679,broadband_type_8
14140,broadband_type_8
12233,broadband_type_8
12084,broadband_type_8
17502,broadband_type_8
14463,broadband_type_8
812,broadband_type_8
12487,broadband_type_8
16240,broadband_type_8
1598,broadband_type_8
17515,broadband_type_8
6823,broadband_type_8
16724,broadband_type_8
12811,broadband_type_8
9853,broadband_type_8
479,broadband_type_8
34,broadband_type_3
34,broadband_type_8
34,broadband_type_2
17416,broadband_type_8
17853,broadband_type_8
11459,broadband_type_8
11887,broadband_type_8
16818,broadband_type_8
5510,broadband_type_8
17033,broadband_type_8
7978,broadband_type_2
7853,broadband_type_8
17533,broadband_type_2
17533,broadband_type_8
3043,broadband_type_8
1677,broadband_type_2
810,broadband_type_2
14310,broadband_type_2
3308,broadband_type_8
7076,broadband_type_6
7076,broadband_type_8
3640,broadband_type_6
3640,broadband_type_8
15800,broadband_type_8
11130,broadband_type_8
11130,broadband_type_6
11687,broadband_type_8
15539,broadband_type_8
2580,broadband_type_7
8392,broadband_type_8
8616,broadband_type_8
2407,broadband_type_6
2407,broadband_type_8
17448,broadband_type_6
17448,broadband_type_8
4249,broadband_type_8
4249,broadband_type_6
1294,broadband_type_6
1294,broadband_type_8
6818,broadband_type_6
6818,broadband_type_8
5681,broadband_type_8
5681,broadband_type_4
10981,broadband_type_2
11271,broadband_type_6
11271,broadband_type_8
3594,broadband_type_8
3594,broadband_type_4
3242,broadband_type_8
3242,broadband_type_4
17567,broadband_type_4
17567,broadband_type_8
5736,broadband_type_4
5736,broadband_type_8
13353,broadband_type_2
11198,broadband_type_6
11198,broadband_type_8
16865,broadband_type_6
16865,broadband_type_8
16865,broadband_type_2
8840,broadband_type_8
8840,broadband_type_4
8840,broadband_type_2
13974,broadband_type_2
13974,broadband_type_6
13974,broadband_type_8
4339,broadband_type_6
4339,broadband_type_8
4339,broadband_type_2
14540,broadband_type_6
14540,broadband_type_2
14540,broadband_type_8
183,broadband_type_6
183,broadband_type_8
13862,broadband_type_4
13862,broadband_type_8
2590,broadband_type_8
2590,broadband_type_6
12015,broadband_type_6
12015,broadband_type_8
16141,broadband_type_8
16141,broadband_type_6
8599,broadband_type_6
8599,broadband_type_8
5484,broadband_type_6
5484,broadband_type_8
9610,broadband_type_6
11215,broadband_type_6
11215,broadband_type_8
9944,broadband_type_1
3861,broadband_type_6
3861,broadband_type_8
7452,broadband_type_6
11994,broadband_type_4
11994,broadband_type_8
4651,broadband_type_8
861,broadband_type_4
861,broadband_type_8
6321,broadband_type_6
6321,broadband_type_8
5379,broadband_type_6
5379,broadband_type_8
3693,broadband_type_8
3693,broadband_type_6
5190,broadband_type_8
5190,broadband_type_1
5190,broadband_type_6
5340,broadband_type_8
5340,broadband_type_6
8566,broadband_type_6
8566,broadband_type_8
4146,broadband_type_8
4146,broadband_type_6
11291,broadband_type_8
11291,broadband_type_6
3842,broadband_type_2
2353,broadband_type_8
10530,broadband_type_8
14233,broadband_type_8
4747,broadband_type_8
5043,broadband_type_8
16588,broadband_type_2
3156,broadband_type_8
14994,broadband_type_8
6749,broadband_type_8
4300,broadband_type_8
7624,broadband_type_2
3974,broadband_type_2
1351,broadband_type_2
9485,broadband_type_2
13841,broadband_type_2
17730,broadband_type_2
3451,broadband_type_2
1789,broadband_type_2
12373,broadband_type_8
9276,broadband_type_8
6418,broadband_type_8
15844,broadband_type_8
14903,broadband_type_2
6218,broadband_type_8
8662,broadband_type_8
2842,broadband_type_2
16558,broadband_type_8
2499,broadband_type_8
5839,broadband_type_8
1601,broadband_type_8
6416,broadband_type_8
5272,broadband_type_8
11395,broadband_type_8
6644,broadband_type_8
13239,broadband_type_8
7912,broadband_type_8
883,broadband_type_8
4460,broadband_type_8
8134,broadband_type_8
3726,broadband_type_8
9647,broadband_type_8
1481,broadband_type_8
12651,broadband_type_8
14467,broadband_type_8
13883,broadband_type_8
11694,broadband_type_8
6450,broadband_type_8
9885,broadband_type_8
9885,broadband_type_2
16982,broadband_type_8
816,broadband_type_8
18544,broadband_type_8
7476,broadband_type_8
16998,broadband_type_8
3234,broadband_type_8
550,broadband_type_8
7951,broadband_type_8
12236,broadband_type_8
3824,broadband_type_8
7319,broadband_type_8
242,broadband_type_8
14552,broadband_type_8
4618,broadband_type_8
17659,broadband_type_8
1053,broadband_type_8
12082,broadband_type_8
12284,broadband_type_8
12886,broadband_type_8
3164,broadband_type_8
7645,broadband_type_8
13432,broadband_type_8
16455,broadband_type_8
6300,broadband_type_8
12668,broadband_type_8
5853,broadband_type_8
13531,broadband_type_8
11531,broadband_type_8
15962,broadband_type_8
11194,broadband_type_8
13461,broadband_type_8
2223,broadband_type_8
18197,broadband_type_8
4532,broadband_type_8
2280,broadband_type_8
10377,broadband_type_8
14909,broadband_type_8
10988,broadband_type_8
8765,broadband_type_8
10535,broadband_type_8
17650,broadband_type_8
14443,broadband_type_8
7420,broadband_type_2
2505,broadband_type_8
8567,broadband_type_8
3130,broadband_type_8
7148,broadband_type_8
1225,broadband_type_8
8116,broadband_type_8
15425,broadband_type_8
8950,broadband_type_8
13229,broadband_type_8
5227,broadband_type_8
3225,broadband_type_8
16461,broadband_type_8
10380,broadband_type_8
10615,broadband_type_8
1946,broadband_type_8
12408,broadband_type_8
8875,broadband_type_8
10924,broadband_type_8
14166,broadband_type_8
11915,broadband_type_8
5553,broadband_type_8
7234,broadband_type_8
9260,broadband_type_8
4738,broadband_type_8
9379,broadband_type_8
256,broadband_type_8
15359,broadband_type_8
7404,broadband_type_8
10286,broadband_type_8
16899,broadband_type_8
3672,broadband_type_8
9443,broadband_type_8
16520,broadband_type_8
18494,broadband_type_8
9363,broadband_type_8
5451,broadband_type_8
2540,broadband_type_8
11545,broadband_type_8
4678,broadband_type_8
11899,broadband_type_8
10518,broadband_type_8
11425,broadband_type_8
2274,broadband_type_8
12111,broadband_type_8
8361,broadband_type_8
7124,broadband_type_8
7124,broadband_type_7
9762,broadband_type_7
9762,broadband_type_8
6467,broadband_type_8
8132,broadband_type_8
8132,broadband_type_7
6033,broadband_type_7
6033,broadband_type_8
17643,broadband_type_8
13469,broadband_type_8
13469,broadband_type_2
8117,broadband_type_8
17299,broadband_type_7
11377,broadband_type_8
2655,broadband_type_8
14490,broadband_type_8
11330,broadband_type_8
1974,broadband_type_8
2793,broadband_type_8
2793,broadband_type_2
4758,broadband_type_8
6609,broadband_type_8
17706,broadband_type_8
1319,broadband_type_8
5464,broadband_type_8
